custom_lambda_0.0022 Coefficients
==================================================
Bias Term      : 0.007706
V277           : -0.017456
V278           : -0.001066
V279           : -0.007808
V280           : 0.009418
V281           : 0.011621
V282           : -0.008055
V283           : -0.009077
V284           : -0.002889
V285           : -0.005312
V286           : -0.002673
V287           : -0.010978
V288           : -0.011535
V289           : -0.009796
V290           : -0.007985
V291           : 0.000000
V292           : -0.008542
V293           : -0.000697
V294           : -0.006352
V295           : -0.002468
V296           : 0.000007
V297           : -0.011794
V298           : -0.019059
V299           : 0.006932
V300           : -0.007444
V301           : -0.004037
V302           : -0.007320
V303           : 0.001552
V304           : -0.013342
V305           : -0.005777
V306           : -0.007889
V307           : -0.011830
V308           : -0.004947
V309           : -0.013823
V310           : 0.001738
V311           : -0.008704
V312           : -0.008031
V313           : -0.009149
V314           : -0.005501
V315           : -0.008625
V316           : 0.004777
V317           : 0.014284
V318           : -0.000162
V319           : 0.010791
V320           : 0.004212
V321           : 0.007673
V322           : -0.005152
V323           : 0.002315
V324           : -0.008317
V325           : -0.007678
V326           : -0.006284
V327           : -0.014936
V328           : -0.012281
V329           : 0.001571
V330           : -0.009044
V331           : -0.007382
V332           : -0.008087
V333           : -0.003338
V334           : 0.004227
V335           : -0.019216
V336           : 0.005894
V337           : -0.001345
V338           : -0.007146
V339           : 0.004253
V340           : -0.004821
V341           : -0.008352
V342           : -0.007989
V343           : -0.008152
V344           : -0.009287
V345           : -0.011532
V346           : 0.007055
V347           : -0.007652
V348           : -0.005971
V349           : -0.004721
V350           : -0.001237
V351           : -0.001206
V352           : 0.001868
V353           : -0.007973
V354           : -0.000226
V355           : 0.009573
V356           : -0.007942
V357           : -0.011817
V358           : -0.008468
V359           : -0.008024
V360           : -0.008808
V361           : 0.007194
V362           : -0.007418
V363           : -0.015730
V364           : -0.014662
V365           : -0.007550
V366           : 0.004380
V367           : 0.008061
V368           : -0.009494
V369           : -0.008764
V370           : -0.014080
V371           : -0.007990
V372           : 0.008704
V373           : -0.000000
V374           : -0.002286
V375           : 0.008183
V376           : -0.010341
V377           : -0.003504
V378           : 0.006179
V379           : -0.000579
V380           : 0.011037
V381           : 0.007282
V382           : -0.001710
V383           : 0.005420
V384           : 0.006031
V385           : 0.008039
V386           : 0.004489
V387           : -0.006515
V388           : 0.017191
V389           : 0.003712
V390           : 0.008756
V391           : 0.004271
V392           : 0.003875
V393           : -0.008720
V394           : 0.002209
V395           : 0.002065
V396           : 0.005676
V397           : 0.007896
V398           : 0.002721
V399           : 0.000873
V400           : 0.007485
V401           : 0.005507
V402           : -0.009081
V403           : 0.012892
V404           : 0.009513
V405           : -0.006131
V406           : -0.005751
V407           : -0.011959
V408           : 0.003661
V409           : -0.007912
V410           : 0.008590
V411           : 0.011890
V412           : -0.007798
V413           : 0.011104
V414           : -0.010372
V415           : 0.013436
V416           : -0.005694
V417           : 0.012714
V418           : 0.000000
V419           : 0.009572
V420           : -0.000009
V421           : -0.008824
V422           : 0.001569
V423           : -0.002319
V424           : -0.004737
V425           : 0.004578
V426           : -0.008703
V427           : 0.013790
V428           : -0.007419
V429           : -0.008667
V430           : -0.005894
V431           : -0.002009
V432           : -0.003395
V433           : 0.006214
V434           : 0.013129
V435           : 0.004687
V436           : 0.005721
V437           : -0.004924
V438           : 0.003725
V439           : 0.009066
V440           : -0.007564
V441           : 0.002878
V442           : -0.005315
V443           : 0.006361
V444           : -0.004990
V445           : -0.008659
V446           : -0.010707
V447           : -0.013522
V448           : -0.005748
V449           : 0.003049
V450           : 0.001233
V451           : 0.006016
V452           : -0.007530
V453           : 0.001117
V454           : -0.013621
V455           : -0.007290
V456           : -0.005190
V457           : -0.005623
V458           : -0.005736
V459           : -0.005747
V460           : 0.004666
V461           : -0.007005
V462           : -0.009622
V463           : 0.003659
V464           : -0.006239
V465           : -0.008281
V466           : -0.005378
V467           : 0.000152
V468           : -0.007027
V469           : -0.009988
V470           : 0.007254
V471           : 0.015602
V472           : -0.000000
V473           : -0.003832
V474           : -0.000000
V475           : 0.005391
V476           : 0.013894
V477           : 0.001986
V478           : -0.011482
V479           : 0.004322
V480           : 0.012190
V481           : 0.006397
V482           : -0.004428
V483           : -0.004325
V484           : 0.004878
V485           : 0.009738
V486           : 0.002767
V487           : 0.001775
V488           : 0.007905
V489           : -0.000706
V490           : -0.009163
V491           : -0.003032
V492           : -0.013582
V493           : 0.003365
V494           : -0.011704
V495           : -0.006859
V496           : 0.005661
V497           : -0.002903
V498           : -0.000687
V499           : -0.007609
V500           : -0.009699
V501           : -0.006823
V502           : 0.000937
V503           : -0.009674
V504           : -0.008164
V505           : -0.006500
V506           : 0.000437
V507           : 0.004328
V508           : -0.005738
V509           : 0.005508
V510           : -0.007176
V511           : 0.005332
V512           : 0.010647
V513           : -0.009341
V514           : 0.002275
V515           : -0.001157
V516           : 0.002672
V517           : -0.004126
V518           : 0.004185
V519           : 0.005065
V520           : -0.000174
V521           : 0.011912
V522           : -0.013960
V523           : -0.009631
V524           : -0.007547
V525           : 0.011306
V526           : 0.005829
V527           : 0.003244
V528           : 0.005977
V529           : -0.006163
V530           : -0.005803
V531           : 0.007673
V532           : 0.017142
V533           : -0.014629
V534           : 0.007681
V535           : 0.005848
V536           : 0.000471
V537           : -0.009052
V538           : -0.007837
V539           : -0.004879
V540           : -0.003870
V541           : -0.005680
V542           : 0.004762
V543           : -0.008049
V544           : -0.009945
V545           : -0.009014
V546           : 0.000936
V547           : -0.003450
V548           : -0.008879
V549           : -0.006443
V550           : -0.008337
V551           : 0.003298
V552           : -0.006871
V553           : -0.004672
V554           : -0.005327
V555           : -0.006858
V556           : -0.005861
V557           : -0.011622
V558           : -0.006397
V559           : -0.006725
V560           : 0.003357
V561           : -0.026681
V562           : -0.003922
V563           : -0.009947
V564           : 0.001961
V565           : 0.010690
V566           : 0.010238
V567           : 0.001777
V568           : 0.005264
V569           : -0.004111
V570           : 0.004370
V571           : -0.007548
V572           : 0.008855
V573           : 0.004382
V574           : -0.000000
V575           : -0.004440
V576           : 0.007682
V577           : -0.005792
V578           : 0.007528
V579           : 0.006552
V580           : 0.010252
V581           : -0.006647
V582           : 0.000238
V583           : -0.000091
V584           : -0.004045
V585           : 0.012077
V586           : -0.006781
V587           : -0.000481
V588           : 0.005969
V589           : 0.000000
V590           : -0.009277
V591           : 0.007042
V592           : 0.004949
V593           : -0.007189
V594           : 0.016256
V595           : 0.008465
V596           : -0.007422
V597           : 0.001079
V598           : -0.006143
V599           : -0.012409
V600           : 0.008853
V601           : -0.008922
V602           : 0.004519
V603           : 0.004658
V604           : -0.006427
V605           : -0.008646
V606           : 0.004129
V607           : -0.005186
V608           : 0.013425
V609           : -0.009340
V610           : -0.011243
V611           : -0.000777
V612           : -0.009528
V613           : 0.006766
V614           : 0.006005
V615           : 0.001772
V616           : -0.006141
V617           : 0.004277
V618           : -0.003690
V619           : -0.003501
V620           : 0.003618
V621           : 0.002694
V622           : 0.008829
V623           : 0.002387
V624           : 0.004469
V625           : -0.002717
V626           : 0.006656
V627           : -0.006993
V628           : 0.009491
V629           : -0.002537
V630           : -0.004659
V631           : 0.006069
V632           : 0.008361
V633           : -0.004546
V634           : -0.009358
V635           : 0.008039
V636           : 0.000077
V637           : 0.005876
V638           : -0.005373
V639           : -0.009035
V640           : -0.005156
V641           : 0.001431
V642           : 0.003272
V643           : -0.002602
V644           : -0.005591
V645           : -0.009816
V646           : 0.011657
V647           : 0.008986
V648           : 0.001583
V649           : -0.006591
V650           : -0.002773
V651           : -0.011087
V652           : -0.001587
V653           : 0.018342
V654           : -0.000000
V655           : 0.007205
V656           : -0.005129
V657           : -0.007695
V658           : 0.005575
V659           : -0.007843
V660           : 0.003581
V661           : -0.009961
V662           : -0.000000
V663           : 0.004610
V664           : -0.003772
V665           : -0.006601
V666           : -0.003597
V667           : -0.007151
V668           : 0.009445
V669           : -0.004963
V670           : 0.009771
V671           : -0.007155
V672           : -0.007002
V673           : 0.000955
V674           : 0.009752
V675           : -0.009046
V676           : 0.006759
V677           : 0.008683
V678           : 0.007011
V679           : -0.001377
V680           : -0.000000
V681           : -0.012497
V682           : 0.004830
V683           : -0.004790
V684           : -0.011721
V685           : 0.003889
V686           : -0.004779
V687           : -0.011943
V688           : -0.006833
V689           : -0.009148
V690           : -0.007171
V691           : 0.007044
V692           : 0.008146
V693           : -0.003373
V694           : 0.000390
V695           : -0.001579
V696           : 0.004918
V697           : -0.017306
V698           : -0.004189
V699           : -0.004355
V700           : -0.003460
V701           : -0.011984
V702           : -0.006537
V703           : -0.011482
V704           : -0.016590
V705           : -0.004095
V706           : -0.004915
V707           : -0.004816
V708           : 0.010267
V709           : 0.008559
V710           : -0.011290
V711           : -0.008501
V712           : -0.007055
V713           : -0.020127
V714           : 0.001910
V715           : 0.007059
V716           : -0.000034
V717           : -0.006077
V718           : -0.005818
V719           : 0.006001
V720           : -0.019165
V721           : 0.004114
V722           : 0.006777
V723           : -0.006560
V724           : -0.005924
V725           : -0.012225
V726           : -0.017096
V727           : -0.004105
V728           : 0.000065
V730           : -0.008319
V731           : 0.014969
V732           : -0.002082
V733           : -0.007411
V734           : 0.007244
V735           : 0.003224
V736           : -0.005338
V737           : -0.000706
V738           : -0.001355
V739           : -0.005451
V740           : 0.002096
V741           : -0.003055
V742           : -0.001239
V743           : 0.001702
V744           : -0.004541
V745           : 0.001073
V746           : 0.001765
V747           : -0.007267
V748           : 0.002365
V749           : -0.005056
V750           : 0.014985
V751           : -0.007020
V752           : -0.007857
V753           : 0.001637
V754           : -0.008516
V755           : -0.003902
V756           : -0.003663
V757           : -0.002042
V758           : 0.005599
V759           : 0.008506
V760           : 0.009569
V761           : 0.010256
V762           : 0.007278
V763           : -0.011897
V764           : -0.011754
V765           : -0.010227
V766           : 0.012366
V767           : 0.002950
V768           : 0.004711
V769           : -0.003166
V770           : -0.004418
V771           : 0.004790
V772           : 0.003738
V773           : 0.005449
V774           : 0.007940
V775           : 0.009297
V776           : 0.005545
V777           : -0.009682
V778           : 0.006086
V779           : 0.004507
V780           : 0.004094
V781           : 0.003874
V782           : 0.000203
V783           : 0.015501
V784           : 0.003438
V785           : 0.003520
V786           : 0.000000
V787           : -0.006156
V788           : -0.005158
V789           : 0.005173
V790           : -0.005757
V791           : -0.008959
V792           : 0.000716
V793           : 0.003458
V794           : -0.007484
V795           : -0.006434
V796           : 0.006581
V797           : -0.008622
V798           : -0.004574
V799           : 0.005225
V800           : -0.019593
V801           : -0.015376
V802           : 0.002873
V803           : 0.012129
V804           : -0.015605
V805           : -0.006072
V806           : -0.004637
V807           : -0.017810
V808           : 0.003308
V809           : 0.017335
V810           : -0.002782
V811           : -0.010027
V812           : 0.008633
V813           : -0.006315
V814           : 0.003191
V815           : 0.006347
V816           : -0.003880
V818           : -0.004134
V819           : -0.008008
V820           : 0.005121
V821           : -0.001193
V822           : -0.005552
V823           : -0.004509
V824           : -0.000946
V825           : 0.003032
V826           : -0.006777
V828           : -0.007106
V829           : 0.007910
V830           : 0.006692
V831           : 0.015943
V832           : -0.005545
V833           : -0.004333
V834           : -0.005891
V835           : 0.004051
V836           : -0.006431
V837           : -0.007001
V838           : 0.005228
V839           : -0.000524
V840           : -0.003513
V841           : -0.001069
V842           : -0.009413
V843           : -0.006157
V844           : -0.003571
V845           : 0.005654
V846           : 0.002340
V847           : 0.004886
V848           : -0.001644
V849           : 0.002554
V850           : 0.010498
V851           : 0.003541
V852           : 0.004014
V853           : 0.002618
V854           : -0.001845
V855           : -0.005205
V856           : -0.015362
V857           : 0.017515
V858           : -0.004628
V859           : -0.007327
V860           : 0.003807
V861           : 0.009146
V862           : 0.000000
V863           : 0.001726
V864           : 0.005951
V865           : 0.006058
V866           : 0.002431
V867           : 0.003647
V868           : -0.001987
V869           : -0.001646
V870           : 0.016482
V871           : -0.009652
V872           : -0.004997
V873           : -0.004144
V874           : -0.011893
V875           : 0.001039
V876           : -0.003365
V877           : -0.010104
V878           : 0.001565
V879           : -0.004417
V880           : -0.006262
V881           : -0.003047
V882           : -0.011097
V883           : 0.013088
V884           : 0.015383
V885           : 0.003657
V886           : 0.006573
V887           : 0.000583
V888           : 0.001651
V889           : 0.003636
V890           : 0.002780
V891           : 0.002954
V892           : -0.002919
V893           : -0.007056
V894           : -0.003342
V895           : 0.006110
V896           : 0.013978
V897           : 0.009761
V898           : 0.009290
V899           : 0.001596
V900           : 0.016001
V901           : -0.012934
V902           : 0.008945
V903           : -0.008061
V904           : 0.006175
V905           : 0.002398
V906           : 0.004140
V907           : 0.007894
V908           : -0.000925
V909           : 0.001125
V910           : 0.012824
V911           : 0.003359
V912           : 0.003854
V913           : 0.007724
V914           : -0.002574
V915           : -0.007141
V916           : -0.003780
V917           : -0.007594
V918           : -0.010177
V919           : 0.012811
V920           : -0.005907
V921           : -0.003045
V922           : -0.014723
V923           : -0.002453
V924           : -0.006424
V925           : -0.004210
V926           : 0.010522
V927           : -0.002526
V928           : -0.003505
V929           : -0.005329
V930           : -0.005519
V931           : -0.001607
V932           : 0.008990
V933           : 0.001801
V934           : -0.006617
V935           : 0.003751
V936           : -0.010303
V937           : 0.007364
V938           : 0.017730
V939           : 0.007802
V940           : -0.011348
V941           : 0.004936
V942           : 0.010090
V943           : -0.002240
V944           : 0.010432
V945           : -0.003994
V946           : 0.003577
V947           : -0.006361
V948           : 0.013804
V949           : 0.002109
V950           : 0.005837
V951           : -0.006815
V952           : -0.007844
V953           : 0.001254
V954           : -0.013921
V955           : 0.008493
V956           : -0.004255
V957           : -0.002933
V958           : 0.006913
V959           : -0.005472
V960           : -0.007242
V961           : -0.009526
V962           : -0.014864
V963           : -0.007599
V964           : 0.003201
V965           : -0.012241
V966           : -0.017436
V967           : 0.004476
V968           : 0.004994
V969           : 0.003447
V970           : -0.008428
V971           : -0.010681
V972           : -0.000867
V973           : 0.006358
V974           : -0.008589
V975           : -0.008110
V976           : 0.005885
V977           : -0.010258
V978           : -0.000072
V979           : 0.006832
V980           : 0.012095
V981           : 0.011502
V982           : -0.006793
V983           : -0.001372
V984           : -0.009729
V985           : -0.004012
V986           : 0.015342
V987           : 0.006574
V988           : -0.000265
V989           : 0.008793
V990           : -0.013533
V991           : -0.006357
V992           : 0.007656
V993           : 0.007581
V994           : -0.005406
V995           : 0.005977
V996           : -0.006927
V997           : 0.005164
V998           : 0.008273
V999           : 0.003128
V1000          : 0.016537
V1001          : -0.006981
V1002          : 0.001906
V1003          : 0.005277
V1004          : 0.006206
V1005          : 0.013475
V1006          : -0.010323
V1007          : -0.002587
V1008          : -0.003564
V1009          : 0.003563
V1010          : 0.005662
V1011          : -0.012009
V1012          : 0.000000
V1013          : -0.010196
V1014          : 0.002842
V1015          : 0.008804
V1016          : 0.003605
V1017          : -0.009933
V1018          : 0.008603
V1019          : -0.007634
V1020          : -0.007790
V1021          : -0.015432
V1022          : -0.005543
V1023          : 0.008404
V1024          : -0.004322
V1025          : 0.004480
V1026          : 0.006078
V1027          : -0.008073
V1028          : -0.000794
V1029          : 0.005350
V1030          : -0.005733
V1031          : 0.008187
V1032          : -0.000000
V1033          : 0.010223
V1034          : 0.005533
V1035          : 0.008222
V1036          : -0.003685
V1037          : -0.011258
V1038          : 0.003142
V1039          : 0.012447
V1040          : 0.000440
V1041          : 0.006861
V1042          : 0.001587
V1043          : 0.011220
V1044          : -0.000951
V1045          : -0.016765
V1046          : -0.005459
V1047          : -0.005209
V1048          : 0.007672
V1049          : 0.005345
V1050          : -0.004993
V1051          : 0.010213
V1052          : 0.009234
V1053          : -0.005949
V1054          : 0.008075
V1055          : -0.005615
V1056          : 0.004336
V1057          : 0.006313
V1058          : 0.005766
V1059          : 0.004369
V1060          : -0.010692
V1061          : 0.002082
V1062          : -0.000079
V1063          : 0.003525
V1064          : 0.016473
V1065          : 0.010533
V1066          : 0.009479
V1067          : -0.000371
V1068          : -0.003719
V1069          : 0.008651
V1070          : 0.003128
V1071          : -0.003766
V1072          : 0.004690
V1073          : 0.005749
V1074          : -0.000940
V1075          : 0.004624
V1076          : 0.009679
V1077          : -0.004791
V1078          : -0.009016
V1079          : 0.025074
V1080          : 0.009667
V1081          : -0.011365
V1082          : -0.007049
V1083          : 0.007123
V1084          : -0.000830
V1085          : -0.003107
V1086          : -0.014772
V1087          : 0.005056
V1088          : -0.005250
V1089          : -0.006096
V1090          : -0.006176
V1091          : 0.003089
V1092          : 0.014867
V1093          : 0.001508
V1094          : -0.011474
V1095          : 0.000936
V1096          : -0.011629
V1097          : 0.009674
V1098          : -0.003080
V1099          : -0.006263
V1100          : -0.012863
V1101          : 0.003962
V1102          : -0.001498
V1103          : 0.003169
V1104          : -0.001600
V1105          : -0.010882
V1106          : -0.008872
V1107          : 0.016723
V1108          : 0.003240
V1109          : -0.007615
V1110          : -0.009484
V1111          : -0.009517
V1112          : 0.006711
V1113          : -0.012712
V1114          : -0.001029
V1115          : 0.000595
V1116          : -0.004337
V1117          : -0.005686
V1118          : -0.011725
V1119          : -0.010918
V1120          : -0.005055
V1121          : 0.009421
V1122          : -0.001013
V1123          : -0.001509
V1124          : 0.010501
V1125          : 0.003255
V1126          : -0.009739
V1127          : -0.007959
V1128          : 0.011340
V1129          : -0.001000
V1130          : -0.003899
V1131          : -0.000567
V1132          : -0.009824
V1133          : 0.002673
V1134          : 0.011785
V1135          : 0.010137
V1136          : -0.008208
V1137          : 0.007956
V1138          : -0.000170
V1139          : -0.009414
V1140          : -0.010892
V1141          : 0.005283
V1142          : -0.006352
V1143          : -0.004721
V1144          : -0.009479
V1145          : 0.002862
V1146          : -0.016827
V1147          : 0.008798
V1148          : 0.001053
V1149          : -0.003077
V1150          : 0.006405
V1151          : -0.004160
V1152          : 0.004858
V1153          : 0.000834
V1154          : -0.006981
V1155          : 0.005598
V1156          : 0.008116
V1157          : -0.011236
V1158          : -0.003941
V1159          : -0.012218
V1160          : -0.005964
V1161          : -0.002443
V1162          : -0.001254
V1163          : -0.000806
V1164          : 0.011169
V1165          : 0.002590
V1166          : -0.008079
V1167          : -0.004959
V1168          : -0.003861
V1169          : -0.006754
V1170          : 0.010463
V1171          : 0.013335
V1172          : -0.006106
V1173          : -0.012518
V1174          : -0.013659
V1175          : -0.006963
V1176          : -0.009327
V1177          : -0.006961
V1178          : 0.002147
V1179          : -0.016213
V1180          : 0.009518
V1181          : 0.003452
V1182          : 0.003785
V1183          : -0.008277
V1184          : 0.002803
V1185          : -0.005695
V1186          : -0.014694
V1187          : -0.005859
V1188          : 0.012478
V1189          : 0.008534
V1190          : -0.007011
V1191          : -0.000819
V1192          : -0.013505
V1193          : -0.014021
V1194          : -0.001700
V1195          : 0.001988
V1196          : 0.000745
V1197          : -0.001039
V1198          : 0.004197
V1199          : -0.012200
V1200          : -0.003315
V1201          : -0.003222
V1202          : 0.003569
V1203          : -0.009136
V1204          : -0.005898
V1205          : 0.005655
V1206          : -0.004911
V1207          : -0.008296
V1208          : 0.001187
V1209          : 0.019839
V1210          : -0.004643
V1211          : -0.005323
V1212          : -0.010867
V1213          : -0.006385
V1214          : -0.001059
V1215          : -0.006623
V1216          : -0.006029
V1217          : 0.006930
V1218          : 0.010200
V1219          : 0.011878
V1220          : -0.003145
V1221          : -0.011758
V1222          : -0.013655
V1223          : -0.006484
V1224          : 0.003332
V1225          : 0.003681
V1226          : -0.003100
V1227          : 0.013336
V1228          : -0.013626
V1229          : 0.027727
V1230          : 0.003497
V1231          : 0.002195
V1232          : 0.004921
V1233          : -0.006734
V1234          : -0.008806
V1235          : 0.014608
V1236          : 0.005575
V1237          : -0.003217
V1238          : 0.006717
V1239          : -0.001735
V1240          : -0.006435
V1241          : 0.000000
V1242          : 0.004954
V1243          : 0.001392
V1244          : -0.004119
V1245          : -0.008844
V1246          : -0.011346
V1247          : -0.003991
V1248          : -0.004928
V1249          : -0.009171
V1250          : -0.006408
V1251          : 0.008643
V1252          : 0.000772
V1253          : -0.007129
V1254          : -0.004300
V1255          : -0.014091
V1256          : 0.005009
V1257          : 0.005968
V1258          : 0.004373
V1259          : -0.005607
V1260          : 0.004306
V1261          : -0.004103
V1262          : 0.005733
V1263          : -0.002464
V1264          : -0.006894
V1265          : 0.007794
V1266          : -0.012732
V1267          : -0.003575
V1268          : 0.009639
V1269          : 0.000322
V1270          : -0.012982
V1271          : 0.002308
V1272          : -0.004525
V1273          : -0.009831
V1274          : -0.007314
V1275          : 0.009176
V1276          : 0.006055
V1277          : -0.007784
V1278          : -0.001784
V1279          : -0.008662
V1280          : -0.010902
V1281          : 0.002300
V1282          : -0.012581
V1283          : 0.004897
V1284          : 0.012545
V1285          : -0.006764
V1286          : -0.008653
V1287          : -0.005892
V1288          : -0.015266
V1289          : -0.008668
V1290          : -0.001934
V1291          : -0.007497
V1292          : -0.008058
V1293          : -0.019406
V1294          : 0.012894
V1295          : -0.005134
V1296          : -0.004397
V1297          : 0.001727
V1298          : -0.011167
V1299          : 0.016547
V1300          : -0.001589
V1302          : 0.000316
V1303          : 0.008023
V1304          : -0.007574
V1305          : -0.005953
V1306          : -0.006410
V1308          : 0.010211
V1309          : -0.006238
V1310          : 0.002894
V1311          : -0.006160
V1312          : 0.000439
V1313          : 0.005613
V1314          : -0.006826
V1315          : 0.009920
V1316          : 0.000503
V1317          : 0.002841
V1318          : -0.012168
V1319          : 0.014793
V1320          : -0.004529
V1321          : -0.005480
V1322          : -0.002328
V1323          : -0.008163
V1324          : -0.006558
V1325          : -0.005302
V1326          : -0.005652
V1327          : -0.011002
V1328          : 0.002418
V1329          : 0.004057
V1330          : -0.011467
V1331          : -0.003867
V1332          : 0.007495
V1333          : 0.004479
V1334          : -0.003079
V1335          : 0.008994
V1336          : -0.005264
V1337          : -0.014987
V1338          : -0.003136
V1339          : 0.008115
V1340          : -0.008137
V1341          : -0.009520
V1342          : -0.008542
V1343          : -0.004393
V1344          : 0.000000
V1345          : 0.019311
V1346          : -0.002075
V1347          : -0.008831
V1348          : -0.012097
V1349          : 0.009950
V1350          : 0.007135
V1351          : -0.014441
V1352          : -0.007878
V1353          : 0.006574
V1354          : -0.012029
V1355          : 0.006072
V1356          : 0.008421
V1357          : -0.005928
V1358          : -0.006996
V1359          : -0.010061
V1360          : -0.005568
V1361          : -0.003972
V1362          : -0.004704
V1363          : -0.007269
V1364          : -0.003175
V1365          : 0.009366
V1366          : -0.007470
V1367          : -0.002676
