custom_lambda_0.0464 Coefficients
==================================================
Bias Term      : 0.006231
V132           : -0.000000
V133           : 0.006017
V134           : -0.000000
V135           : -0.008170
V136           : -0.006084
V137           : 0.005841
V138           : -0.010455
V139           : -0.003359
V140           : 0.011047
V141           : 0.000006
V142           : 0.003316
V143           : -0.002495
V144           : -0.000000
V145           : 0.004989
V146           : -0.003569
V147           : -0.006442
V148           : 0.003405
V149           : 0.000000
V150           : -0.002876
V151           : -0.008153
V152           : 0.007356
V153           : -0.007978
V154           : -0.007230
V155           : 0.008308
V156           : -0.006727
V157           : 0.000000
V158           : 0.002727
V159           : -0.006358
V160           : -0.000589
V161           : 0.004309
V162           : -0.004444
V163           : -0.006426
V164           : 0.000000
V165           : 0.003882
V166           : -0.006564
V167           : -0.000000
V168           : 0.010180
V169           : 0.006780
V170           : -0.003180
V171           : 0.003890
V172           : -0.000000
V173           : 0.008174
V174           : 0.000000
V175           : -0.003990
V176           : 0.004118
V177           : 0.001745
V178           : 0.002715
V179           : -0.005308
V180           : -0.004974
V181           : 0.001336
V182           : -0.011704
V183           : 0.002446
V184           : -0.000000
V185           : -0.002846
V186           : -0.000000
V187           : -0.000000
V188           : -0.008496
V189           : -0.007594
V190           : -0.001103
V191           : 0.008741
V192           : 0.002597
V193           : -0.007566
V194           : -0.007181
V195           : -0.007727
V196           : 0.008190
V197           : -0.004707
V198           : -0.005556
V199           : 0.004893
V200           : -0.005964
V201           : -0.006433
V202           : -0.013631
V203           : 0.001158
V204           : -0.007096
V205           : -0.000136
V206           : -0.008191
V207           : 0.001243
V208           : -0.005542
V209           : 0.000000
V210           : -0.007443
V211           : 0.003154
V212           : 0.003242
V213           : -0.000000
V214           : 0.003410
V215           : 0.000000
V216           : -0.002994
V217           : -0.005324
V218           : -0.000132
V219           : 0.000000
V220           : -0.005492
V221           : -0.005156
V222           : -0.002684
V223           : -0.005410
V224           : -0.005408
V225           : 0.005666
V226           : -0.018085
V227           : -0.005171
V228           : -0.009176
V229           : -0.000506
V230           : -0.006663
V231           : -0.000000
V232           : -0.005425
V233           : -0.008645
V234           : -0.001877
V235           : -0.008499
V236           : -0.004417
V237           : -0.000000
V238           : -0.000000
V239           : 0.001413
V240           : 0.003467
V241           : 0.002279
V242           : -0.005922
V243           : -0.001265
V244           : -0.008359
V245           : 0.005511
V246           : 0.002144
V247           : 0.000282
V248           : -0.007504
V249           : -0.001120
V250           : -0.005950
V251           : -0.004638
V252           : 0.000000
V253           : 0.002085
V254           : -0.010098
V255           : 0.005051
V256           : 0.000000
V257           : 0.005691
V258           : -0.008445
V259           : -0.011032
V260           : 0.000000
V261           : -0.001752
V262           : -0.005074
V263           : 0.002367
V264           : 0.002855
V265           : -0.007988
V266           : -0.006738
V267           : 0.000476
V268           : -0.000000
V269           : 0.005029
V270           : -0.008478
V271           : -0.006621
V272           : 0.002424
V273           : -0.005985
V274           : -0.000804
V275           : 0.004669
V276           : -0.000634
V277           : -0.007594
V278           : -0.000000
V279           : -0.006079
V280           : 0.006466
V281           : 0.008409
V282           : -0.006891
V283           : -0.007635
V284           : -0.000000
V285           : -0.001363
V286           : -0.000000
V287           : -0.006417
V288           : -0.009416
V289           : -0.008195
V290           : -0.006808
V291           : 0.000000
V292           : -0.002438
V293           : -0.000000
V294           : -0.005029
V295           : -0.000140
V296           : 0.000000
V297           : -0.009659
V298           : -0.011973
V299           : 0.004201
V300           : -0.005208
V301           : -0.003156
V302           : -0.004998
V303           : 0.000511
V304           : -0.010973
V305           : -0.004811
V306           : -0.005711
V307           : -0.009824
V308           : -0.002767
V309           : -0.010205
V310           : 0.000824
V311           : -0.003956
V312           : -0.006759
V313           : -0.007778
V314           : -0.002569
V315           : -0.000000
V316           : 0.002782
V317           : 0.004431
V318           : -0.000000
V319           : 0.000000
V320           : 0.002717
V321           : 0.004484
V322           : -0.004074
V323           : 0.000659
V324           : -0.006468
V325           : -0.006215
V326           : -0.005376
V327           : -0.005014
V328           : -0.004280
V329           : 0.000776
V330           : -0.006967
V331           : -0.006089
V332           : -0.000000
V333           : -0.001107
V334           : 0.002308
V335           : -0.011630
V336           : 0.000965
V337           : -0.000000
V338           : -0.005796
V339           : 0.000000
V340           : -0.003434
V341           : -0.001055
V342           : -0.006725
V343           : -0.006066
V344           : -0.006965
V345           : -0.009420
V346           : 0.005414
V347           : -0.005777
V348           : -0.005108
V349           : -0.001333
V350           : -0.000423
V351           : -0.000000
V352           : 0.000000
V353           : -0.006452
V354           : -0.000000
V355           : 0.007007
V356           : -0.004671
V357           : -0.009652
V358           : -0.006142
V359           : -0.006865
V360           : -0.006040
V361           : 0.006028
V362           : -0.003241
V363           : -0.011059
V364           : -0.010294
V365           : -0.006441
V366           : 0.001478
V367           : 0.004806
V368           : -0.007811
V369           : -0.006886
V370           : -0.010423
V371           : -0.004995
V372           : 0.005685
V373           : -0.000000
V374           : -0.000523
V375           : 0.006932
V376           : -0.008608
V377           : -0.002945
V378           : 0.005178
V379           : -0.000000
V380           : 0.007189
V381           : 0.005984
V382           : -0.000000
V383           : 0.004775
V384           : 0.000016
V385           : 0.002177
V386           : 0.003956
V387           : -0.005574
V388           : 0.004300
V389           : 0.002881
V390           : 0.003573
V391           : 0.003388
V392           : 0.003410
V393           : -0.005030
V394           : 0.001747
V395           : 0.001298
V396           : 0.004758
V397           : 0.003408
V398           : 0.002165
V399           : 0.000000
V400           : 0.006433
V401           : 0.000000
V402           : -0.007508
V403           : 0.009837
V404           : 0.004189
V405           : -0.004015
V406           : -0.000806
V407           : -0.008488
V408           : 0.003256
V409           : -0.000000
V410           : 0.003645
V411           : 0.007723
V412           : -0.002447
V413           : 0.006327
V414           : -0.001519
V415           : 0.004397
V416           : -0.004614
V417           : 0.009071
V418           : 0.000000
V419           : 0.008408
V420           : -0.000000
V421           : -0.007370
V422           : 0.000499
V423           : -0.000000
V424           : -0.002363
V425           : 0.003623
V426           : -0.007412
V427           : 0.009644
V428           : -0.004756
V429           : -0.006392
V430           : -0.004531
V431           : -0.000084
V432           : -0.001376
V433           : 0.005093
V434           : 0.000000
V435           : 0.003872
V436           : 0.004150
V437           : -0.003947
V438           : 0.003390
V439           : 0.006796
V440           : -0.005984
V441           : 0.000000
V442           : -0.003432
V443           : 0.002366
V444           : -0.001438
V445           : -0.007237
V446           : -0.007822
V447           : -0.007946
V448           : -0.004265
V449           : 0.000908
V450           : 0.000000
V451           : 0.004638
V452           : -0.005347
V453           : 0.000000
V454           : -0.008506
V455           : -0.006237
V456           : -0.000000
V457           : -0.004492
V458           : -0.000599
V459           : -0.004917
V460           : 0.003010
V461           : -0.005905
V462           : -0.008181
V463           : 0.000000
V464           : -0.005188
V465           : -0.002385
V466           : -0.004404
V467           : 0.000000
V468           : -0.005963
V469           : -0.007810
V470           : 0.005495
V471           : 0.008225
V472           : -0.000000
V473           : -0.000000
V474           : -0.000000
V475           : 0.004496
V476           : 0.008934
V477           : 0.000000
V478           : -0.009361
V479           : 0.003558
V480           : 0.009419
V481           : 0.005461
V482           : -0.003543
V483           : -0.003409
V484           : 0.004127
V485           : 0.004707
V486           : 0.002542
V487           : 0.000000
V488           : 0.006083
V489           : -0.000000
V490           : -0.007740
V491           : -0.000493
V492           : -0.003831
V493           : 0.002840
V494           : -0.009677
V495           : -0.005372
V496           : 0.004521
V497           : -0.001864
V498           : -0.000000
V499           : -0.006094
V500           : -0.005495
V501           : -0.005728
V502           : 0.000000
V503           : -0.006335
V504           : -0.006984
V505           : -0.004822
V506           : 0.000000
V507           : 0.003716
V508           : -0.004522
V509           : 0.004902
V510           : -0.005597
V511           : 0.000000
V512           : 0.008148
V513           : -0.005900
V514           : 0.000428
V515           : -0.000315
V516           : 0.001520
V517           : -0.000000
V518           : 0.003795
V519           : 0.000000
V520           : -0.000000
V521           : 0.010534
V522           : -0.011519
V523           : -0.007509
V524           : -0.005879
V525           : 0.008357
V526           : 0.001596
V527           : 0.002669
V528           : 0.003926
V529           : -0.005272
V530           : -0.004882
V531           : 0.006608
V532           : 0.013352
V533           : -0.005095
V534           : 0.006311
V535           : 0.005103
V536           : 0.000000
V537           : -0.000000
V538           : -0.006705
V539           : -0.004004
V540           : -0.002832
V541           : -0.004767
V542           : 0.003781
V543           : -0.005867
V544           : -0.007750
V545           : -0.005669
V546           : 0.000000
V547           : -0.002480
V548           : -0.007237
V549           : -0.004387
V550           : -0.003604
V551           : 0.002090
V552           : -0.005833
V553           : -0.003797
V554           : -0.004166
V555           : -0.005756
V556           : -0.004761
V557           : -0.009068
V558           : -0.001496
V559           : -0.005555
V560           : 0.002936
V561           : -0.016354
V562           : -0.000556
V563           : -0.008510
V564           : 0.000000
V565           : 0.007331
V566           : 0.009040
V567           : 0.000000
V568           : 0.004731
V569           : -0.002372
V570           : 0.003847
V571           : -0.006142
V572           : 0.002883
V573           : 0.003692
V574           : -0.000000
V575           : -0.003446
V576           : 0.005660
V577           : -0.004824
V578           : 0.005883
V579           : 0.004848
V580           : 0.008398
V581           : -0.002033
V582           : 0.000000
V583           : -0.000000
V584           : -0.002720
V585           : 0.001856
V586           : -0.004326
V587           : -0.000000
V588           : 0.002056
V589           : 0.000000
V590           : -0.007901
V591           : 0.001838
V592           : 0.004004
V593           : -0.002136
V594           : 0.011150
V595           : 0.003934
V596           : -0.005775
V597           : 0.000000
V598           : -0.005122
V599           : -0.007299
V600           : 0.007300
V601           : -0.004928
V602           : 0.002313
V603           : 0.003322
V604           : -0.005368
V605           : -0.006942
V606           : 0.003759
V607           : -0.003038
V608           : 0.009958
V609           : -0.006746
V610           : -0.009481
V611           : -0.000000
V612           : -0.005823
V613           : 0.005865
V614           : 0.005070
V615           : 0.001328
V616           : -0.005044
V617           : 0.003936
V618           : -0.002006
V619           : -0.002470
V620           : 0.002011
V621           : 0.001327
V622           : 0.007304
V623           : 0.000000
V624           : 0.004138
V625           : -0.001611
V626           : 0.000039
V627           : -0.001747
V628           : 0.007973
V629           : -0.001008
V630           : -0.000716
V631           : 0.002798
V632           : 0.006410
V633           : -0.003698
V634           : -0.002170
V635           : 0.003882
V636           : 0.000000
V637           : 0.004566
V638           : -0.004414
V639           : -0.007103
V640           : -0.001692
V641           : 0.000000
V642           : 0.003036
V643           : -0.000343
V644           : -0.004692
V645           : -0.001224
V646           : 0.005911
V647           : 0.007546
V648           : 0.000000
V649           : -0.005454
V650           : -0.001633
V651           : -0.007715
V652           : -0.000000
V653           : 0.013262
V654           : -0.000000
V655           : 0.003734
V656           : -0.004209
V657           : -0.005950
V658           : 0.004386
V659           : -0.006388
V660           : 0.002838
V661           : -0.007108
V662           : -0.000000
V663           : 0.002827
V664           : -0.002323
V665           : -0.004664
V666           : -0.001876
V667           : -0.005224
V668           : 0.005814
V669           : -0.002804
V670           : 0.000000
V671           : -0.006073
V672           : -0.005974
V673           : 0.000000
V674           : 0.004520
V675           : -0.007666
V676           : 0.005824
V677           : 0.003647
V678           : 0.003615
V679           : -0.000000
V680           : -0.000000
V681           : -0.005653
V682           : 0.000000
V683           : -0.003488
V684           : -0.003603
V685           : 0.001704
V686           : -0.001238
V687           : -0.006509
V688           : -0.004320
V689           : -0.007737
V690           : -0.005590
V691           : 0.004870
V692           : 0.005737
V693           : -0.000000
V694           : 0.000000
V695           : -0.000000
V696           : 0.000000
V697           : -0.004504
V698           : -0.000000
V699           : -0.002956
V700           : -0.002003
V701           : -0.008049
V702           : -0.000000
V703           : -0.009810
V704           : -0.013580
V705           : -0.002758
V706           : -0.000000
V707           : -0.002419
V708           : 0.005109
V709           : 0.007140
V710           : -0.006741
V711           : -0.003861
V712           : -0.001666
V713           : -0.015080
V714           : 0.000000
V715           : 0.001640
V716           : -0.000000
V717           : -0.004547
V718           : -0.003358
V719           : 0.005227
V720           : -0.013632
V721           : 0.003272
V722           : 0.000000
V723           : -0.003444
V724           : -0.005001
V725           : -0.010277
V726           : -0.012207
V727           : -0.001615
V728           : 0.000000
V730           : -0.006953
V731           : 0.004118
V732           : -0.000000
V733           : -0.004091
V734           : 0.005650
V735           : 0.003022
V736           : -0.004178
V737           : -0.000000
V738           : -0.000757
V739           : -0.002342
V740           : 0.000000
V741           : -0.002065
V742           : -0.000763
V743           : 0.000000
V744           : -0.003639
V745           : 0.000000
V746           : 0.001462
V747           : -0.005360
V748           : 0.002222
V749           : -0.003118
V750           : 0.005546
V751           : -0.005022
V752           : -0.004301
V753           : 0.000068
V754           : -0.006174
V755           : -0.002892
V756           : -0.002581
V757           : -0.001055
V758           : 0.004274
V759           : 0.002844
V760           : 0.007495
V761           : 0.008173
V762           : 0.005969
V763           : -0.009534
V764           : -0.008820
V765           : -0.006087
V766           : 0.010379
V767           : 0.002627
V768           : 0.000000
V769           : -0.002150
V770           : -0.000648
V771           : 0.002660
V772           : 0.003320
V773           : 0.004733
V774           : 0.006678
V775           : 0.007865
V776           : 0.004184
V777           : -0.008026
V778           : 0.004599
V779           : 0.002954
V780           : 0.000149
V781           : 0.002944
V782           : 0.000000
V783           : 0.006485
V784           : 0.003129
V785           : 0.002862
V786           : 0.000000
V787           : -0.005134
V788           : -0.004258
V789           : 0.004146
V790           : -0.004807
V791           : -0.005859
V792           : 0.000000
V793           : 0.002804
V794           : -0.005246
V795           : -0.005505
V796           : 0.005212
V797           : -0.007377
V798           : -0.002551
V799           : 0.003648
V800           : -0.013283
V801           : -0.012288
V802           : 0.000646
V803           : 0.009947
V804           : -0.005819
V805           : -0.002577
V806           : -0.000000
V807           : -0.012240
V808           : 0.001299
V809           : 0.013559
V810           : -0.001122
V811           : -0.008439
V812           : 0.006779
V813           : -0.005272
V814           : 0.000000
V815           : 0.000072
V816           : -0.002603
V818           : -0.003124
V819           : -0.001455
V820           : 0.004131
V821           : -0.000000
V822           : -0.004675
V823           : -0.000000
V824           : -0.000068
V825           : 0.002780
V826           : -0.005255
V828           : -0.006074
V829           : 0.007234
V830           : 0.000000
V831           : 0.011784
V832           : -0.004342
V833           : -0.003707
V834           : -0.005040
V835           : 0.003037
V836           : -0.004299
V837           : -0.005990
V838           : 0.002466
V839           : -0.000000
V840           : -0.000000
V841           : -0.000000
V842           : -0.007951
V843           : -0.004905
V844           : -0.000055
V845           : 0.003724
V846           : 0.000194
V847           : 0.004224
V848           : -0.000675
V849           : 0.002108
V850           : 0.003120
V851           : 0.002987
V852           : 0.000050
V853           : 0.000000
V854           : -0.000000
V855           : -0.004128
V856           : -0.007190
V857           : 0.011796
V858           : -0.002134
V859           : -0.005055
V860           : 0.002701
V861           : 0.004894
V862           : 0.000000
V863           : 0.000000
V864           : 0.004141
V865           : 0.004796
V866           : 0.002140
V867           : 0.003209
V868           : -0.000965
V869           : -0.000000
V870           : 0.010975
V871           : -0.007365
V872           : -0.003822
V873           : -0.001625
V874           : -0.005631
V875           : 0.000000
V876           : -0.000000
V877           : -0.008446
V878           : 0.000000
V879           : -0.000467
V880           : -0.004274
V881           : -0.001183
V882           : -0.008637
V883           : 0.005618
V884           : 0.010301
V885           : 0.003236
V886           : 0.003291
V887           : 0.000000
V888           : 0.000000
V889           : 0.003037
V890           : 0.001085
V891           : 0.001615
V892           : -0.002242
V893           : -0.006002
V894           : -0.002286
V895           : 0.003547
V896           : 0.011816
V897           : 0.000107
V898           : 0.006180
V899           : 0.000000
V900           : 0.010271
V901           : -0.006495
V902           : 0.005914
V903           : -0.005730
V904           : 0.005456
V905           : 0.000000
V906           : 0.003482
V907           : 0.006584
V908           : -0.000000
V909           : 0.000534
V910           : 0.009786
V911           : 0.002681
V912           : 0.003260
V913           : 0.004051
V914           : -0.001476
V915           : -0.005161
V916           : -0.002264
V917           : -0.005495
V918           : -0.000000
V919           : 0.000610
V920           : -0.004637
V921           : -0.002060
V922           : -0.011977
V923           : -0.001131
V924           : -0.005144
V925           : -0.001736
V926           : 0.006574
V927           : -0.000837
V928           : -0.002511
V929           : -0.003112
V930           : -0.003878
V931           : -0.000000
V932           : 0.007898
V933           : 0.000000
V934           : -0.005661
V935           : 0.003319
V936           : -0.006695
V937           : 0.006689
V938           : 0.013074
V939           : 0.000007
V940           : -0.000000
V941           : 0.002151
V942           : 0.006143
V943           : -0.001085
V944           : 0.005107
V945           : -0.002853
V946           : 0.002767
V947           : -0.005285
V948           : 0.010995
V949           : 0.000000
V950           : 0.001045
V951           : -0.000000
V952           : -0.006509
V953           : 0.000000
V954           : -0.007403
V955           : 0.006706
V956           : -0.001651
V957           : -0.000000
V958           : 0.005028
V959           : -0.003988
V960           : -0.005797
V961           : -0.004447
V962           : -0.009001
V963           : -0.005518
V964           : 0.000000
V965           : -0.009415
V966           : -0.012874
V967           : 0.001593
V968           : 0.004599
V969           : 0.003166
V970           : -0.006937
V971           : -0.008393
V972           : -0.000000
V973           : 0.005106
V974           : -0.007051
V975           : -0.004762
V976           : 0.004998
V977           : -0.007843
V978           : -0.000000
V979           : 0.002015
V980           : 0.009365
V981           : 0.006676
V982           : -0.004685
V983           : -0.000000
V984           : -0.008323
V985           : -0.000001
V986           : 0.009079
V987           : 0.004761
V988           : -0.000000
V989           : 0.000000
V990           : -0.008946
V991           : -0.005127
V992           : 0.006676
V993           : 0.000000
V994           : -0.004387
V995           : 0.003037
V996           : -0.000313
V997           : 0.003998
V998           : 0.004583
V999           : 0.000000
V1000          : 0.004974
V1001          : -0.002447
V1002          : 0.000000
V1003          : 0.001379
V1004          : 0.000000
V1005          : 0.010911
V1006          : -0.008832
V1007          : -0.000000
V1008          : -0.002392
V1009          : 0.002855
V1010          : 0.005034
V1011          : -0.009258
V1012          : 0.000000
V1013          : -0.004569
V1014          : 0.002577
V1015          : 0.002986
V1016          : 0.003067
V1017          : -0.007350
V1018          : 0.004878
V1019          : -0.005918
V1020          : -0.006267
V1021          : -0.011687
V1022          : -0.000000
V1023          : 0.007077
V1024          : -0.003437
V1025          : 0.003639
V1026          : 0.004668
V1027          : -0.006740
V1028          : -0.000000
V1029          : 0.004584
V1030          : -0.004905
V1031          : 0.002766
V1032          : -0.000000
V1033          : 0.004399
V1034          : 0.005038
V1035          : 0.002022
V1036          : -0.002563
V1037          : -0.008949
V1038          : 0.002109
V1039          : 0.007557
V1040          : 0.000000
V1041          : 0.003977
V1042          : 0.001128
V1043          : 0.002751
V1044          : -0.000000
V1045          : -0.013489
V1046          : -0.000502
V1047          : -0.004214
V1048          : 0.006020
V1049          : 0.000000
V1050          : -0.004064
V1051          : 0.005977
V1052          : 0.004736
V1053          : -0.005054
V1054          : 0.006454
V1055          : -0.004400
V1056          : 0.003488
V1057          : 0.003884
V1058          : 0.003254
V1059          : 0.003771
V1060          : -0.009136
V1061          : 0.000000
V1062          : -0.000000
V1063          : 0.000000
V1064          : 0.010315
V1065          : 0.006229
V1066          : 0.008335
V1067          : -0.000000
V1068          : -0.002155
V1069          : 0.007800
V1070          : 0.001914
V1071          : -0.000000
V1072          : 0.003988
V1073          : 0.004476
V1074          : -0.000000
V1075          : 0.001686
V1076          : 0.002873
V1077          : -0.003847
V1078          : -0.006463
V1079          : 0.015588
V1080          : 0.002462
V1081          : -0.009313
V1082          : -0.004812
V1083          : 0.001157
V1084          : -0.000000
V1085          : -0.000000
V1086          : -0.012207
V1087          : 0.004076
V1088          : -0.003373
V1089          : -0.004372
V1090          : -0.004945
V1091          : 0.000000
V1092          : 0.008450
V1093          : 0.000000
V1094          : -0.009404
V1095          : 0.000000
V1096          : -0.006423
V1097          : 0.007130
V1098          : -0.000192
V1099          : -0.003173
V1100          : -0.007143
V1101          : 0.002423
V1102          : -0.000000
V1103          : 0.002856
V1104          : -0.000000
V1105          : -0.000000
V1106          : -0.005938
V1107          : 0.011209
V1108          : 0.002264
V1109          : -0.006515
V1110          : -0.008054
V1111          : -0.006302
V1112          : 0.005883
V1113          : -0.007625
V1114          : -0.000000
V1115          : 0.000000
V1116          : -0.001709
V1117          : -0.002848
V1118          : -0.003389
V1119          : -0.004188
V1120          : -0.003824
V1121          : 0.006747
V1122          : -0.000000
V1123          : -0.000509
V1124          : 0.008930
V1125          : 0.000000
V1126          : -0.008045
V1127          : -0.001057
V1128          : 0.000000
V1129          : -0.000000
V1130          : -0.002476
V1131          : -0.000000
V1132          : -0.000000
V1133          : 0.000031
V1134          : 0.009091
V1135          : 0.007840
V1136          : -0.001252
V1137          : 0.006287
V1138          : -0.000000
V1139          : -0.003269
V1140          : -0.005884
V1141          : 0.003891
V1142          : -0.005140
V1143          : -0.003465
V1144          : -0.006370
V1145          : 0.002582
V1146          : -0.010295
V1147          : 0.006766
V1148          : 0.000000
V1149          : -0.002088
V1150          : 0.005517
V1151          : -0.003079
V1152          : 0.000000
V1153          : 0.000000
V1154          : -0.003669
V1155          : 0.000585
V1156          : 0.005223
V1157          : -0.006703
V1158          : -0.002051
V1159          : -0.007574
V1160          : -0.005103
V1161          : -0.000000
V1162          : -0.000733
V1163          : -0.000000
V1164          : 0.009145
V1165          : 0.000064
V1166          : -0.006405
V1167          : -0.000936
V1168          : -0.000562
V1169          : -0.003892
V1170          : 0.008686
V1171          : 0.002853
V1172          : -0.002642
V1173          : -0.008591
V1174          : -0.000000
V1175          : -0.002427
V1176          : -0.006158
V1177          : -0.005935
V1178          : 0.000000
V1179          : -0.005079
V1180          : 0.006987
V1181          : 0.002583
V1182          : 0.003336
V1183          : -0.006325
V1184          : 0.000000
V1185          : -0.002880
V1186          : -0.010653
V1187          : -0.004701
V1188          : 0.009426
V1189          : 0.006148
V1190          : -0.005777
V1191          : -0.000000
V1192          : -0.005920
V1193          : -0.005717
V1194          : -0.000458
V1195          : 0.000000
V1196          : 0.000000
V1197          : -0.000000
V1198          : 0.000693
V1199          : -0.000000
V1200          : -0.000000
V1201          : -0.000000
V1202          : 0.003104
V1203          : -0.007730
V1204          : -0.004506
V1205          : 0.004360
V1206          : -0.003672
V1207          : -0.006321
V1208          : 0.000000
V1209          : 0.014766
V1210          : -0.003417
V1211          : -0.003302
V1212          : -0.000991
V1213          : -0.005332
V1214          : -0.000000
V1215          : -0.005633
V1216          : -0.003911
V1217          : 0.005884
V1218          : 0.008012
V1219          : 0.002159
V1220          : -0.000000
V1221          : -0.008534
V1222          : -0.004255
V1223          : -0.005227
V1224          : 0.000446
V1225          : 0.000000
V1226          : -0.000000
V1227          : 0.010304
V1228          : -0.005306
V1229          : 0.015978
V1230          : 0.003056
V1231          : 0.000000
V1232          : 0.003749
V1233          : -0.004965
V1234          : -0.004953
V1235          : 0.010645
V1236          : 0.000000
V1237          : -0.002202
V1238          : 0.000000
V1239          : -0.000170
V1240          : -0.004715
V1241          : 0.000000
V1242          : 0.000000
V1243          : 0.000551
V1244          : -0.002064
V1245          : -0.007566
V1246          : -0.006544
V1247          : -0.002899
V1248          : -0.003864
V1249          : -0.002196
V1250          : -0.002336
V1251          : 0.006519
V1252          : 0.000000
V1253          : -0.001695
V1254          : -0.000000
V1255          : -0.010848
V1256          : 0.002936
V1257          : 0.001747
V1258          : 0.000623
V1259          : -0.000000
V1260          : 0.000000
V1261          : -0.000000
V1262          : 0.004101
V1263          : -0.000000
V1264          : -0.005178
V1265          : 0.000000
V1266          : -0.007827
V1267          : -0.001469
V1268          : 0.000000
V1269          : 0.000000
V1270          : -0.008462
V1271          : 0.001110
V1272          : -0.003560
V1273          : -0.008411
V1274          : -0.005823
V1275          : 0.005649
V1276          : 0.005073
V1277          : -0.006240
V1278          : -0.000000
V1279          : -0.000000
V1280          : -0.000000
V1281          : 0.000000
V1282          : -0.008398
V1283          : 0.004354
V1284          : 0.007694
V1285          : -0.005752
V1286          : -0.007028
V1287          : -0.004920
V1288          : -0.012315
V1289          : -0.007170
V1290          : -0.000000
V1291          : -0.005936
V1292          : -0.005516
V1293          : -0.013518
V1294          : 0.000000
V1295          : -0.002875
V1296          : -0.003150
V1297          : 0.000000
V1298          : -0.009222
V1299          : 0.010761
V1300          : -0.000000
V1302          : 0.000000
V1303          : 0.005732
V1304          : -0.002686
V1305          : -0.003591
V1306          : -0.002550
V1308          : 0.008544
V1309          : -0.005337
V1310          : 0.002612
V1311          : -0.004815
V1312          : 0.000000
V1313          : 0.000000
V1314          : -0.004841
V1315          : 0.006738
V1316          : 0.000000
V1317          : 0.002159
V1318          : -0.008624
V1319          : 0.009217
V1320          : -0.003295
V1321          : -0.004264
V1322          : -0.000000
V1323          : -0.006085
V1324          : -0.002198
V1325          : -0.003772
V1326          : -0.000000
V1327          : -0.005378
V1328          : 0.000000
V1329          : 0.003325
V1330          : -0.005607
V1331          : -0.002855
V1332          : 0.002754
V1333          : 0.000000
V1334          : -0.001767
V1335          : 0.001587
V1336          : -0.000398
V1337          : -0.010165
V1338          : -0.002128
V1339          : 0.006887
V1340          : -0.006961
V1341          : -0.006857
V1342          : -0.006926
V1343          : -0.002591
V1344          : 0.000000
V1345          : 0.006781
V1346          : -0.000000
V1347          : -0.007221
V1348          : -0.009665
V1349          : 0.003659
V1350          : 0.005545
V1351          : -0.009831
V1352          : -0.006683
V1353          : 0.004783
V1354          : -0.006101
V1355          : 0.004200
V1356          : 0.006799
V1357          : -0.004578
V1358          : -0.000000
V1359          : -0.008121
V1360          : -0.003174
V1361          : -0.003026
V1362          : -0.001063
V1363          : -0.005419
V1364          : -0.000000
V1365          : 0.000056
V1366          : -0.005854
V1367          : -0.000000
