custom_lambda_0.1292 Coefficients
==================================================
Bias Term      : 0.003473
V641           : 0.000000
V642           : 0.002594
V643           : -0.000000
V644           : -0.003012
V645           : -0.000000
V646           : 0.000000
V647           : 0.004853
V648           : 0.000000
V649           : -0.003329
V650           : -0.000000
V651           : -0.001413
V652           : -0.000000
V653           : 0.003766
V654           : -0.000000
V655           : 0.000000
V656           : -0.002489
V657           : -0.002689
V658           : 0.002162
V659           : -0.003668
V660           : 0.001449
V661           : -0.001774
V662           : -0.000000
V663           : 0.000000
V664           : -0.000000
V665           : -0.001043
V666           : -0.000000
V667           : -0.001623
V668           : 0.000000
V669           : -0.000000
V670           : 0.000000
V671           : -0.004049
V672           : -0.004053
V673           : 0.000000
V674           : 0.000000
V675           : -0.005087
V676           : 0.004076
V677           : 0.000000
V678           : 0.000000
V679           : -0.000000
V680           : -0.000000
V681           : -0.000000
V682           : 0.000000
V683           : -0.001054
V684           : -0.000000
V685           : 0.000000
V686           : -0.000000
V687           : -0.000000
V688           : -0.000000
V689           : -0.005099
V690           : -0.002635
V691           : 0.000805
V692           : 0.001232
V693           : -0.000000
V694           : 0.000000
V695           : -0.000000
V696           : 0.000000
V697           : -0.000000
V698           : -0.000000
V699           : -0.000341
V700           : -0.000000
V701           : -0.000694
V702           : -0.000000
V703           : -0.006686
V704           : -0.007953
V705           : -0.000259
V706           : -0.000000
V707           : -0.000000
V708           : 0.000000
V709           : 0.004487
V710           : -0.000000
V711           : -0.000000
V712           : -0.000000
V713           : -0.005645
V714           : 0.000000
V715           : 0.000000
V716           : -0.000000
V717           : -0.001685
V718           : -0.000000
V719           : 0.003779
V720           : -0.003289
V721           : 0.001698
V722           : 0.000000
V723           : -0.000000
V724           : -0.003276
V725           : -0.006636
V726           : -0.003067
V727           : -0.000000
V728           : 0.000000
V730           : -0.004399
V731           : 0.000000
V732           : -0.000000
V733           : -0.000000
V734           : 0.002669
V735           : 0.002645
V736           : -0.002010
V737           : -0.000000
V738           : -0.000000
V739           : -0.000000
V740           : 0.000000
V741           : -0.000214
V742           : -0.000000
V743           : 0.000000
V744           : -0.001954
V745           : 0.000000
V746           : 0.000895
V747           : -0.001797
V748           : 0.001955
V749           : -0.000000
V750           : 0.000000
V751           : -0.001287
V752           : -0.000000
V753           : 0.000000
V754           : -0.001796
V755           : -0.001005
V756           : -0.000557
V757           : -0.000000
V758           : 0.001798
V759           : 0.000000
V760           : 0.003617
V761           : 0.004279
V762           : 0.003522
V763           : -0.005118
V764           : -0.003335
V765           : -0.000000
V766           : 0.006665
V767           : 0.002023
V768           : 0.000000
V769           : -0.000252
V770           : -0.000000
V771           : 0.000000
V772           : 0.002538
V773           : 0.003394
V774           : 0.004319
V775           : 0.005188
V776           : 0.001640
V777           : -0.004931
V778           : 0.001819
V779           : 0.000051
V780           : 0.000000
V781           : 0.001206
V782           : 0.000000
V783           : 0.000000
V784           : 0.002552
V785           : 0.001633
V786           : 0.000000
V787           : -0.003223
V788           : -0.002576
V789           : 0.002226
V790           : -0.003030
V791           : -0.000064
V792           : 0.000000
V793           : 0.001582
V794           : -0.001065
V795           : -0.003767
V796           : 0.002652
V797           : -0.005049
V798           : -0.000000
V799           : 0.000700
V800           : -0.001489
V801           : -0.006516
V802           : 0.000000
V803           : 0.005868
V804           : -0.000000
V805           : -0.000000
V806           : -0.000000
V807           : -0.001827
V808           : 0.000000
V809           : 0.006501
V810           : -0.000000
V811           : -0.005470
V812           : 0.003312
V813           : -0.003322
V814           : 0.000000
V815           : 0.000000
V816           : -0.000216
V818           : -0.001236
V819           : -0.000000
V820           : 0.002279
V821           : -0.000000
V822           : -0.003035
V823           : -0.000000
V824           : -0.000000
V825           : 0.002310
V826           : -0.002410
V828           : -0.004145
V829           : 0.005969
V830           : 0.000000
V831           : 0.004008
V832           : -0.002094
V833           : -0.002537
V834           : -0.003449
V835           : 0.001142
V836           : -0.000313
V837           : -0.004099
V838           : 0.000000
V839           : -0.000000
V840           : -0.000000
V841           : -0.000000
V842           : -0.005218
V843           : -0.002564
V844           : -0.000000
V845           : 0.000116
V846           : 0.000000
V847           : 0.002986
V848           : -0.000000
V849           : 0.001275
V850           : 0.000000
V851           : 0.001951
V852           : 0.000000
V853           : 0.000000
V854           : -0.000000
V855           : -0.002115
V856           : -0.000000
V857           : 0.001106
V858           : -0.000000
V859           : -0.000809
V860           : 0.000634
V861           : 0.000000
V862           : 0.000000
V863           : 0.000000
V864           : 0.000759
V865           : 0.002437
V866           : 0.001596
V867           : 0.002391
V868           : -0.000000
V869           : -0.000000
V870           : 0.000682
V871           : -0.003089
V872           : -0.001625
V873           : -0.000000
V874           : -0.000000
V875           : 0.000000
V876           : -0.000000
V877           : -0.005346
V878           : 0.000000
V879           : -0.000000
V880           : -0.000556
V881           : -0.000000
V882           : -0.004039
V883           : 0.000000
V884           : 0.000799
V885           : 0.002451
V886           : 0.000000
V887           : 0.000000
V888           : 0.000000
V889           : 0.001916
V890           : 0.000000
V891           : 0.000000
V892           : -0.000976
V893           : -0.004032
V894           : -0.000310
V895           : 0.000000
V896           : 0.007775
V897           : 0.000000
V898           : 0.000366
V899           : 0.000000
V900           : 0.000000
V901           : -0.000000
V902           : 0.000246
V903           : -0.001374
V904           : 0.004110
V905           : 0.000000
V906           : 0.002253
V907           : 0.004136
V908           : -0.000000
V909           : 0.000000
V910           : 0.004106
V911           : 0.001414
V912           : 0.002149
V913           : 0.000000
V914           : -0.000000
V915           : -0.001459
V916           : -0.000000
V917           : -0.001569
V918           : -0.000000
V919           : 0.000000
V920           : -0.002262
V921           : -0.000219
V922           : -0.006842
V923           : -0.000000
V924           : -0.002750
V925           : -0.000000
V926           : 0.000000
V927           : -0.000000
V928           : -0.000652
V929           : -0.000000
V930           : -0.000811
V931           : -0.000000
V932           : 0.005859
V933           : 0.000000
V934           : -0.003874
V935           : 0.002512
V936           : -0.000000
V937           : 0.005428
V938           : 0.004371
V939           : 0.000000
V940           : -0.000000
V941           : 0.000000
V942           : 0.000000
V943           : -0.000000
V944           : 0.000000
V945           : -0.000719
V946           : 0.001253
V947           : -0.003274
V948           : 0.005746
V949           : 0.000000
V950           : 0.000000
V951           : -0.000000
V952           : -0.004013
V953           : 0.000000
V954           : -0.000000
V955           : 0.003365
V956           : -0.000000
V957           : -0.000000
V958           : 0.001505
V959           : -0.001215
V960           : -0.003095
V961           : -0.000000
V962           : -0.000000
V963           : -0.001628
V964           : 0.000000
V965           : -0.004132
V966           : -0.004347
V967           : 0.000000
V968           : 0.003860
V969           : 0.002641
V970           : -0.004149
V971           : -0.004116
V972           : -0.000000
V973           : 0.002765
V974           : -0.004176
V975           : -0.000000
V976           : 0.003341
V977           : -0.003329
V978           : -0.000000
V979           : 0.000000
V980           : 0.004260
V981           : 0.000000
V982           : -0.000746
V983           : -0.000000
V984           : -0.005696
V985           : -0.000000
V986           : 0.000000
V987           : 0.001372
V988           : -0.000000
V989           : 0.000000
V990           : -0.000373
V991           : -0.002829
V992           : 0.004844
V993           : 0.000000
V994           : -0.002482
V995           : 0.000000
V996           : -0.000000
V997           : 0.001820
V998           : 0.000000
V999           : 0.000000
V1000          : 0.000000
V1001          : -0.000000
V1002          : 0.000000
V1003          : 0.000000
V1004          : 0.000000
V1005          : 0.006118
V1006          : -0.006044
V1007          : -0.000000
V1008          : -0.000202
V1009          : 0.001531
V1010          : 0.003860
V1011          : -0.004117
V1012          : 0.000000
V1013          : -0.000000
V1014          : 0.002083
V1015          : 0.000000
V1016          : 0.002061
V1017          : -0.002521
V1018          : 0.000000
V1019          : -0.002711
V1020          : -0.003422
V1021          : -0.004685
V1022          : -0.000000
V1023          : 0.004597
V1024          : -0.001782
V1025          : 0.002065
V1026          : 0.002031
V1027          : -0.004248
V1028          : -0.000000
V1029          : 0.003152
V1030          : -0.003357
V1031          : 0.000000
V1032          : -0.000000
V1033          : 0.000000
V1034          : 0.004111
V1035          : 0.000000
V1036          : -0.000467
V1037          : -0.004632
V1038          : 0.000179
V1039          : 0.000000
V1040          : 0.000000
V1041          : 0.000000
V1042          : 0.000269
V1043          : 0.000000
V1044          : -0.000000
V1045          : -0.007365
V1046          : -0.000000
V1047          : -0.002352
V1048          : 0.002931
V1049          : 0.000000
V1050          : -0.002328
V1051          : 0.000000
V1052          : 0.000000
V1053          : -0.003380
V1054          : 0.003422
V1055          : -0.002129
V1056          : 0.001905
V1057          : 0.000000
V1058          : 0.000000
V1059          : 0.002653
V1060          : -0.006227
V1061          : 0.000000
V1062          : -0.000000
V1063          : 0.000000
V1064          : 0.000000
V1065          : 0.000000
V1066          : 0.006198
V1067          : -0.000000
V1068          : -0.000000
V1069          : 0.006208
V1070          : 0.000000
V1071          : -0.000000
V1072          : 0.002675
V1073          : 0.002096
V1074          : -0.000000
V1075          : 0.000000
V1076          : 0.000000
V1077          : -0.002083
V1078          : -0.001689
V1079          : 0.000000
V1080          : 0.000000
V1081          : -0.005479
V1082          : -0.000629
V1083          : 0.000000
V1084          : -0.000000
V1085          : -0.000000
V1086          : -0.007412
V1087          : 0.002245
V1088          : -0.000000
V1089          : -0.001150
V1090          : -0.002643
V1091          : 0.000000
V1092          : 0.000000
V1093          : 0.000000
V1094          : -0.005534
V1095          : 0.000000
V1096          : -0.000000
V1097          : 0.002376
V1098          : -0.000000
V1099          : -0.000000
V1100          : -0.000000
V1101          : 0.000000
V1102          : -0.000000
V1103          : 0.002270
V1104          : -0.000000
V1105          : -0.000000
V1106          : -0.000454
V1107          : 0.000900
V1108          : 0.000440
V1109          : -0.004459
V1110          : -0.005380
V1111          : -0.000294
V1112          : 0.004336
V1113          : -0.000000
V1114          : -0.000000
V1115          : 0.000000
V1116          : -0.000000
V1117          : -0.000000
V1118          : -0.000000
V1119          : -0.000000
V1120          : -0.001524
V1121          : 0.001749
V1122          : -0.000000
V1123          : -0.000000
V1124          : 0.005994
V1125          : 0.000000
V1126          : -0.004879
V1127          : -0.000000
V1128          : 0.000000
V1129          : -0.000000
V1130          : -0.000000
V1131          : -0.000000
V1132          : -0.000000
V1133          : 0.000000
V1134          : 0.004054
V1135          : 0.003547
V1136          : -0.000000
V1137          : 0.003166
V1138          : -0.000000
V1139          : -0.000000
V1140          : -0.000000
V1141          : 0.001289
V1142          : -0.002876
V1143          : -0.001116
V1144          : -0.000560
V1145          : 0.002058
V1146          : -0.000000
V1147          : 0.002967
V1148          : 0.000000
V1149          : -0.000241
V1150          : 0.003856
V1151          : -0.001059
V1152          : 0.000000
V1153          : 0.000000
V1154          : -0.000000
V1155          : 0.000000
V1156          : 0.000000
V1157          : -0.000000
V1158          : -0.000000
V1159          : -0.000000
V1160          : -0.003492
V1161          : -0.000000
V1162          : -0.000000
V1163          : -0.000000
V1164          : 0.005362
V1165          : 0.000000
V1166          : -0.003275
V1167          : -0.000000
V1168          : -0.000000
V1169          : -0.000000
V1170          : 0.005363
V1171          : 0.000000
V1172          : -0.000000
V1173          : -0.001250
V1174          : -0.000000
V1175          : -0.000000
V1176          : -0.000235
V1177          : -0.004017
V1178          : 0.000000
V1179          : -0.000000
V1180          : 0.002255
V1181          : 0.000958
V1182          : 0.002496
V1183          : -0.002677
V1184          : 0.000000
V1185          : -0.000000
V1186          : -0.003098
V1187          : -0.002537
V1188          : 0.003721
V1189          : 0.001688
V1190          : -0.003471
V1191          : -0.000000
V1192          : -0.000000
V1193          : -0.000000
V1194          : -0.000000
V1195          : 0.000000
V1196          : 0.000000
V1197          : -0.000000
V1198          : 0.000000
V1199          : -0.000000
V1200          : -0.000000
V1201          : -0.000000
V1202          : 0.002235
V1203          : -0.005103
V1204          : -0.001904
V1205          : 0.001939
V1206          : -0.001356
V1207          : -0.002631
V1208          : 0.000000
V1209          : 0.005283
V1210          : -0.001126
V1211          : -0.000000
V1212          : -0.000000
V1213          : -0.003363
V1214          : -0.000000
V1215          : -0.003783
V1216          : -0.000000
V1217          : 0.003929
V1218          : 0.003921
V1219          : 0.000000
V1220          : -0.000000
V1221          : -0.002509
V1222          : -0.000000
V1223          : -0.002876
V1224          : 0.000000
V1225          : 0.000000
V1226          : -0.000000
V1227          : 0.004638
V1228          : -0.000000
V1229          : 0.000000
V1230          : 0.002232
V1231          : 0.000000
V1232          : 0.001559
V1233          : -0.001656
V1234          : -0.000000
V1235          : 0.003238
V1236          : 0.000000
V1237          : -0.000304
V1238          : 0.000000
V1239          : -0.000000
V1240          : -0.001500
V1241          : 0.000000
V1242          : 0.000000
V1243          : 0.000000
V1244          : -0.000000
V1245          : -0.005178
V1246          : -0.000000
V1247          : -0.000857
V1248          : -0.001876
V1249          : -0.000000
V1250          : -0.000000
V1251          : 0.002548
V1252          : 0.000000
V1253          : -0.000000
V1254          : -0.000000
V1255          : -0.004787
V1256          : 0.000000
V1257          : 0.000000
V1258          : 0.000000
V1259          : -0.000000
V1260          : 0.000000
V1261          : -0.000000
V1262          : 0.001051
V1263          : -0.000000
V1264          : -0.001971
V1265          : 0.000000
V1266          : -0.000000
V1267          : -0.000000
V1268          : 0.000000
V1269          : 0.000000
V1270          : -0.000011
V1271          : 0.000000
V1272          : -0.001754
V1273          : -0.005756
V1274          : -0.003037
V1275          : 0.000000
V1276          : 0.003238
V1277          : -0.003353
V1278          : -0.000000
V1279          : -0.000000
V1280          : -0.000000
V1281          : 0.000000
V1282          : -0.000578
V1283          : 0.003339
V1284          : 0.000000
V1285          : -0.003859
V1286          : -0.003991
V1287          : -0.003103
V1288          : -0.006800
V1289          : -0.004370
V1290          : -0.000000
V1291          : -0.003018
V1292          : -0.000763
V1293          : -0.002511
V1294          : 0.000000
V1295          : -0.000000
V1296          : -0.000818
V1297          : 0.000000
V1298          : -0.005587
V1299          : 0.000000
V1300          : -0.000000
V1302          : 0.000000
V1303          : 0.001451
V1304          : -0.000000
V1305          : -0.000000
V1306          : -0.000000
V1308          : 0.005429
V1309          : -0.003652
V1310          : 0.002083
V1311          : -0.002301
V1312          : 0.000000
V1313          : 0.000000
V1314          : -0.001130
V1315          : 0.000791
V1316          : 0.000000
V1317          : 0.000883
V1318          : -0.002000
V1319          : 0.000000
V1320          : -0.000988
V1321          : -0.001989
V1322          : -0.000000
V1323          : -0.002200
V1324          : -0.000000
V1325          : -0.000911
V1326          : -0.000000
V1327          : -0.000000
V1328          : 0.000000
V1329          : 0.001958
V1330          : -0.000000
V1331          : -0.000962
V1332          : 0.000000
V1333          : 0.000000
V1334          : -0.000000
V1335          : 0.000000
V1336          : -0.000000
V1337          : -0.001149
V1338          : -0.000242
V1339          : 0.004591
V1340          : -0.004764
V1341          : -0.001881
V1342          : -0.003906
V1343          : -0.000000
V1344          : 0.000000
V1345          : 0.000000
V1346          : -0.000000
V1347          : -0.004212
V1348          : -0.005119
V1349          : 0.000000
V1350          : 0.002572
V1351          : -0.001212
V1352          : -0.004450
V1353          : 0.001434
V1354          : -0.000000
V1355          : 0.000699
V1356          : 0.003767
V1357          : -0.002055
V1358          : -0.000000
V1359          : -0.004494
V1360          : -0.000000
V1361          : -0.001256
V1362          : -0.000000
V1363          : -0.001961
V1364          : -0.000000
V1365          : 0.000000
V1366          : -0.002834
V1367          : -0.000000
