custom_lambda_0.0546 Coefficients
==================================================
Bias Term      : -0.004963
V207           : 0.002807
V208           : 0.004184
V209           : -0.000101
V210           : 0.004518
V211           : 0.005224
V212           : 0.005108
V213           : 0.005356
V214           : 0.005156
V216           : 0.005045
V217           : 0.004734
V218           : 0.004873
V219           : 0.001751
V220           : 0.004940
V221           : -0.003855
V222           : -0.001624
V224           : 0.005214
V225           : -0.002542
V226           : 0.005219
V227           : 0.004902
V228           : 0.004805
V229           : 0.003813
V230           : 0.004976
V231           : -0.000000
V232           : -0.000000
V233           : 0.004983
V234           : 0.000000
V235           : 0.003948
V238           : 0.004500
V240           : 0.006867
V242           : -0.002236
V244           : 0.005092
V249           : 0.003900
V253           : 0.005313
V254           : 0.005064
V255           : 0.000000
V256           : -0.004401
V257           : 0.004947
V259           : 0.003799
V260           : -0.002572
V262           : -0.003713
V263           : -0.000136
V264           : 0.003898
V265           : 0.002472
V267           : 0.003545
V268           : 0.004035
V269           : -0.004388
V273           : -0.000000
V274           : 0.004419
V275           : 0.004836
V276           : 0.004223
V278           : 0.001355
V279           : 0.004827
V280           : 0.005038
V283           : 0.004209
V284           : 0.005230
V285           : 0.000000
V286           : -0.004277
V287           : -0.001824
V289           : -0.003422
V290           : -0.002005
V293           : 0.005352
V294           : 0.004945
V295           : 0.005065
V297           : 0.004117
V298           : 0.000000
V299           : 0.005116
V300           : 0.005094
V301           : 0.002232
V302           : 0.002764
V304           : 0.000000
V305           : 0.001354
V310           : 0.004742
V313           : -0.001812
V314           : 0.003805
V315           : 0.003329
V316           : 0.004928
V317           : -0.000377
V319           : 0.005481
V320           : -0.001668
V322           : -0.004030
V325           : 0.004753
V326           : -0.003536
V327           : 0.005713
V329           : 0.006601
V331           : 0.000000
V334           : 0.004067
V335           : -0.003394
V336           : 0.003904
V337           : 0.004946
V339           : 0.002922
V340           : -0.004236
V341           : 0.004270
V342           : 0.004639
V343           : 0.000718
V344           : -0.000217
V345           : 0.004493
V346           : 0.000508
V348           : 0.004698
V349           : 0.001496
V350           : 0.003260
V353           : 0.004319
V356           : 0.003674
V357           : 0.004177
V358           : 0.001104
V360           : 0.004267
V361           : 0.005136
V362           : 0.000000
V364           : 0.004545
V366           : 0.004610
V367           : 0.005038
V368           : 0.003371
V369           : 0.004625
V370           : -0.000000
V373           : 0.005270
V374           : 0.004926
V375           : 0.002816
V377           : -0.004335
V378           : 0.004266
V379           : 0.002803
V383           : -0.004358
V384           : 0.000000
V385           : 0.004824
V387           : 0.003333
V388           : 0.000851
V389           : 0.000000
V390           : 0.003052
V391           : 0.002054
V392           : 0.003080
V393           : -0.000000
V394           : 0.004962
V395           : 0.001785
V396           : -0.004176
V397           : 0.004565
V399           : 0.005693
V400           : 0.005437
V404           : 0.003725
V405           : 0.000000
V406           : 0.003384
V407           : 0.007638
V408           : 0.006596
V409           : -0.004264
V410           : 0.004532
V411           : 0.004890
V412           : 0.002713
V413           : -0.000000
V414           : 0.005135
V415           : 0.004942
V416           : -0.004277
V417           : 0.002208
V419           : -0.000000
V420           : 0.004508
V421           : 0.001790
V422           : -0.000543
V424           : 0.005215
V425           : 0.003272
V428           : -0.001609
V430           : 0.000633
V435           : 0.003025
V437           : 0.005005
V442           : 0.003076
V443           : 0.004191
V444           : 0.000730
V445           : 0.000916
V446           : 0.001619
V448           : 0.000000
V449           : 0.002700
V450           : 0.005036
V451           : 0.000000
V452           : 0.000000
V453           : 0.004553
V456           : 0.005063
V459           : 0.004608
V460           : 0.001091
V461           : 0.000000
V462           : 0.005017
V463           : 0.002037
V464           : 0.004852
V466           : -0.001257
V467           : -0.002114
V469           : -0.001679
V471           : 0.005262
V472           : 0.004859
V473           : 0.004455
V475           : 0.001609
V477           : 0.003889
V479           : 0.003755
V480           : 0.002383
V481           : 0.000000
V482           : 0.003360
V483           : 0.000584
V484           : 0.005295
V485           : 0.004391
V486           : -0.003149
V489           : 0.003519
V490           : 0.004419
V491           : 0.002651
V492           : 0.004418
V493           : 0.005466
V494           : 0.002678
V496           : 0.005656
V498           : -0.003382
V499           : -0.005348
V500           : 0.004961
V501           : -0.006054
V502           : 0.005090
V504           : -0.000000
V505           : 0.004423
V506           : 0.001067
V507           : 0.004795
V508           : 0.005005
V509           : 0.004734
V512           : 0.000000
V513           : 0.005125
V514           : 0.003416
V517           : 0.004280
V519           : 0.005139
V521           : 0.005065
V522           : 0.003480
V523           : 0.003096
V524           : -0.003055
V525           : 0.003359
V528           : 0.005009
V529           : -0.000000
V530           : -0.003396
V531           : -0.004898
V532           : 0.001981
V533           : 0.004776
V534           : 0.002953
V537           : 0.005237
V539           : 0.003808
V540           : -0.003681
V542           : 0.005194
V543           : 0.004642
V544           : 0.001403
V545           : 0.000996
V547           : 0.000340
V548           : 0.004466
V549           : 0.002106
V550           : -0.000000
V556           : 0.000000
V557           : 0.003235
V558           : 0.000000
V559           : -0.002279
V560           : -0.003180
V561           : 0.002609
V562           : 0.004266
V563           : 0.003657
V564           : 0.003060
V565           : -0.002807
V567           : 0.004052
V568           : 0.004963
V571           : 0.004731
V572           : 0.005071
V573           : 0.004280
V574           : 0.003776
V575           : 0.005002
V576           : 0.005005
V577           : 0.004299
V578           : 0.004936
V579           : 0.001680
V580           : 0.004818
V582           : 0.004394
V583           : 0.005031
V585           : 0.003582
V587           : 0.005458
V589           : 0.000000
V590           : -0.004565
V591           : -0.003798
V592           : 0.003821
V594           : 0.004516
V595           : 0.004926
V597           : 0.000283
V598           : -0.000000
V600           : 0.002899
V602           : 0.001944
V603           : 0.005000
V604           : 0.004843
V605           : 0.002898
V606           : 0.005045
V608           : 0.000000
V610           : 0.001038
V611           : 0.003586
V612           : -0.001861
V613           : 0.002548
V614           : 0.005261
V615           : 0.005112
V616           : 0.005231
V617           : 0.004569
V618           : -0.002996
V619           : 0.004415
V622           : 0.001517
V623           : 0.005372
V624           : 0.005015
V625           : 0.003375
V626           : 0.003874
V627           : 0.004126
V628           : 0.004188
V629           : -0.000000
V630           : -0.002301
V631           : 0.005075
V632           : 0.003270
V633           : -0.003856
V634           : 0.004479
V635           : 0.003215
V636           : 0.004676
V637           : 0.005509
V638           : 0.005176
V639           : 0.005189
V640           : 0.004807
V642           : 0.004383
V643           : 0.004974
V645           : 0.000000
V646           : 0.002609
V648           : 0.003916
V649           : 0.005006
V650           : 0.003601
V651           : -0.001091
V652           : 0.005289
V653           : 0.002316
V659           : 0.004681
V660           : 0.004879
V661           : 0.004880
V662           : 0.005330
V663           : 0.003394
V664           : -0.000000
V666           : -0.002804
V667           : 0.002933
V669           : 0.004579
V670           : -0.004312
V671           : 0.000131
V672           : 0.004519
V673           : 0.003966
V674           : 0.005008
V675           : 0.005129
V677           : 0.004834
V678           : 0.004661
V679           : 0.001753
V680           : 0.004878
V681           : 0.005049
V682           : -0.000000
V683           : 0.000298
V684           : 0.005119
V686           : 0.005343
V687           : 0.004042
V688           : 0.000823
V689           : -0.002736
V690           : 0.005084
V691           : 0.003470
V692           : 0.003050
V693           : 0.004939
V694           : 0.000000
V696           : 0.001311
V697           : 0.002845
V698           : -0.001974
V699           : 0.004790
V700           : -0.000000
V702           : -0.002758
V703           : 0.004393
V704           : -0.002974
V707           : 0.005118
V708           : -0.004983
V709           : 0.000000
V710           : 0.000000
V711           : 0.003791
V712           : 0.002637
V713           : 0.004273
V715           : 0.005275
V716           : 0.005521
V719           : 0.005029
V720           : -0.003033
V722           : 0.005149
V723           : -0.001787
V728           : -0.000000
V729           : -0.000367
V730           : -0.003412
V731           : 0.005272
V735           : 0.005255
V739           : -0.002398
V741           : 0.004599
V744           : 0.004521
V745           : 0.004603
V747           : 0.004369
V748           : 0.002924
V749           : 0.003767
V752           : 0.004591
V753           : 0.003411
V754           : 0.004939
V755           : -0.000785
V756           : 0.003838
V757           : -0.004556
V758           : 0.004881
V759           : 0.005018
V760           : 0.000000
V762           : 0.003294
V763           : 0.005169
V764           : 0.002187
V766           : 0.004278
V768           : 0.003784
V769           : 0.005287
V770           : -0.000000
V771           : 0.003883
V772           : -0.004818
V774           : 0.004959
V775           : 0.005006
V776           : 0.003803
V777           : 0.005628
V778           : 0.004683
V780           : 0.004928
V781           : -0.003742
V782           : 0.004736
V783           : 0.003695
V785           : 0.005246
V786           : 0.004867
V788           : 0.005133
V790           : 0.003492
V791           : 0.004901
V793           : -0.000465
V794           : 0.004467
V795           : -0.000000
V796           : -0.000000
V797           : -0.004083
V798           : 0.005282
V800           : 0.003821
V801           : -0.003136
V803           : 0.002307
V806           : 0.004677
V807           : 0.000846
V808           : 0.000456
V809           : 0.005111
V810           : 0.004090
V811           : -0.003983
V813           : -0.002332
V814           : -0.000000
V815           : 0.004726
V816           : 0.005104
V819           : 0.004529
V822           : -0.002062
V823           : -0.001599
V825           : 0.004762
V826           : 0.004797
V827           : 0.004851
V828           : 0.005133
V829           : 0.005226
V831           : 0.000551
V832           : 0.003374
V833           : 0.002845
V834           : 0.002193
V836           : 0.001088
V837           : 0.004854
V839           : 0.004506
V842           : 0.004121
V843           : 0.003320
V844           : 0.003746
V845           : 0.003554
V846           : 0.001667
V849           : -0.003068
V850           : 0.004157
V851           : 0.003175
V853           : 0.005132
V854           : -0.003635
V856           : -0.000000
V857           : 0.004475
V859           : 0.004545
V860           : 0.005282
V861           : 0.003844
V862           : 0.005402
V863           : 0.003513
V864           : 0.004196
V865           : 0.004659
V867           : 0.000359
V871           : 0.002406
V872           : 0.004606
V873           : 0.000000
V874           : -0.001555
V875           : 0.004423
V876           : 0.003170
V877           : 0.004466
V878           : 0.000419
V880           : 0.004814
V883           : 0.004852
V885           : 0.004950
V886           : 0.004179
V887           : 0.003964
V888           : 0.005551
V889           : 0.005213
V890           : 0.004990
V892           : 0.004615
V893           : 0.005149
V894           : -0.000165
V895           : 0.005064
V896           : 0.005223
V897           : -0.004035
V898           : 0.000798
V899           : 0.003581
V900           : 0.004371
V903           : 0.004232
V904           : 0.004900
V905           : 0.004068
V906           : 0.005246
V907           : -0.000000
V910           : 0.003916
V911           : 0.005117
V913           : 0.005160
V914           : 0.005057
V916           : 0.005048
V917           : 0.000087
V918           : 0.003568
V920           : -0.003140
V921           : -0.003152
V922           : 0.000000
V925           : 0.005196
V926           : 0.004689
V927           : 0.001234
V928           : 0.004929
V929           : -0.004375
V930           : 0.003722
V931           : -0.000000
V933           : 0.004856
V934           : -0.002782
V935           : -0.003496
V936           : 0.002973
V937           : 0.005185
V938           : 0.004268
V939           : -0.003988
V940           : -0.004691
V941           : 0.004709
V942           : -0.000000
V943           : -0.003734
V944           : 0.004859
V945           : -0.000000
V946           : 0.005181
V947           : 0.005160
V948           : 0.003776
V949           : -0.002739
V950           : 0.003097
V951           : 0.002642
V952           : -0.003101
V953           : -0.000000
V954           : 0.005484
V956           : -0.004869
V957           : 0.002575
V961           : 0.004963
V963           : 0.002249
V964           : 0.005008
V965           : 0.004218
V966           : 0.003630
V967           : 0.005334
V968           : 0.005386
V969           : 0.004865
V970           : 0.002671
V972           : 0.005381
V974           : 0.004232
V975           : 0.004713
V976           : -0.000000
V977           : 0.004223
V978           : 0.005099
V979           : 0.004512
V982           : 0.001920
V984           : 0.004827
V985           : -0.000000
V986           : -0.000433
V987           : 0.001647
V988           : 0.004864
V989           : 0.004670
V990           : 0.002782
V991           : -0.001772
V992           : 0.005102
V993           : 0.005006
V994           : 0.002740
V995           : 0.000000
V996           : 0.004972
V997           : -0.001692
V998           : 0.003207
V999           : 0.004520
V1000          : -0.000000
V1001          : 0.003902
V1002          : 0.004987
V1003          : 0.004702
V1005          : 0.004428
V1006          : -0.003734
V1007          : 0.005154
V1008          : 0.004291
V1009          : 0.001143
V1010          : 0.003897
V1011          : 0.005137
V1012          : 0.005286
V1013          : 0.005273
V1014          : 0.002491
V1015          : -0.006746
V1016          : -0.006899
V1017          : 0.000000
V1018          : -0.007020
V1019          : -0.001247
V1020          : 0.005132
V1022          : 0.002533
V1023          : 0.003709
V1024          : 0.003459
V1025          : -0.000000
V1026          : -0.006246
V1027          : 0.004625
V1028          : 0.001261
V1029          : 0.003192
V1030          : 0.002791
V1031          : 0.003431
V1032          : 0.004064
V1033          : 0.004310
V1035          : 0.001622
V1036          : 0.004946
V1037          : 0.005348
V1038          : -0.003591
V1041          : 0.000140
V1043          : 0.005148
V1044          : 0.003736
V1046          : 0.001884
V1047          : 0.005099
V1048          : -0.004311
V1049          : 0.004417
V1050          : 0.002598
V1052          : -0.004246
V1054          : 0.005414
V1055          : 0.005445
V1056          : 0.004552
V1057          : 0.004585
V1058          : 0.005031
V1059          : 0.005486
V1060          : 0.002994
V1061          : 0.003364
V1062          : -0.000000
V1063          : 0.005276
V1064          : -0.004436
V1065          : -0.000059
V1066          : 0.004685
V1070          : -0.004068
V1071          : 0.004792
V1072          : -0.000000
V1073          : 0.000000
V1075          : -0.003384
V1076          : -0.000000
V1077          : -0.000056
V1078          : 0.002480
V1080          : 0.004578
V1082          : 0.000000
V1084          : 0.004819
V1085          : -0.004231
V1086          : 0.002141
V1087          : -0.000000
V1089          : 0.004604
V1091          : -0.003881
V1093          : 0.003338
V1094          : 0.000000
V1095          : 0.004302
V1096          : 0.004577
V1099          : -0.000915
V1101          : -0.002021
V1102          : 0.004204
V1104          : 0.003812
V1105          : 0.005166
V1106          : 0.004092
V1107          : 0.002819
V1108          : 0.005116
V1109          : 0.000272
V1110          : 0.003022
V1114          : -0.000000
V1115          : 0.003723
V1116          : 0.004919
V1117          : 0.004625
V1118          : 0.005158
V1119          : 0.004790
V1120          : 0.000000
V1121          : 0.004848
V1122          : 0.005236
V1123          : 0.003784
V1124          : -0.004576
V1126          : 0.005135
V1127          : 0.003871
V1128          : 0.004614
V1130          : 0.004734
V1131          : 0.005002
V1132          : 0.000416
V1134          : 0.004530
V1136          : 0.001196
V1137          : 0.005603
V1138          : 0.003280
V1139          : 0.000000
V1140          : -0.005702
V1141          : -0.000000
V1142          : 0.004961
V1144          : 0.004749
V1145          : 0.004865
V1147          : -0.001284
V1148          : 0.003035
V1149          : 0.004126
V1150          : 0.005406
V1151          : 0.001313
V1152          : 0.004850
V1153          : 0.004566
V1154          : 0.005011
V1156          : 0.004031
V1157          : 0.004642
V1158          : 0.004793
V1159          : 0.004993
V1160          : -0.000832
V1162          : 0.004320
V1163          : 0.004451
V1164          : 0.003660
V1165          : 0.004839
V1168          : 0.004083
V1169          : -0.000000
V1170          : -0.004246
V1171          : 0.005087
V1172          : -0.000394
V1173          : 0.004383
V1174          : 0.005297
V1176          : 0.001261
V1178          : 0.004479
V1179          : -0.003153
V1181          : 0.003104
V1182          : 0.005090
V1183          : 0.003050
V1184          : 0.003900
V1185          : 0.004323
V1186          : -0.007145
V1187          : 0.003834
V1188          : -0.005994
V1190          : -0.002398
V1191          : -0.001887
V1193          : 0.001081
V1197          : 0.005307
V1201          : 0.005226
V1204          : 0.002518
V1205          : 0.001965
V1206          : 0.004979
V1208          : 0.004701
V1209          : 0.004388
V1210          : 0.005313
V1211          : 0.005143
V1212          : -0.002894
V1213          : 0.004485
V1214          : 0.004013
V1215          : 0.005834
V1216          : 0.002414
V1218          : 0.004861
V1220          : 0.004644
V1221          : -0.003584
V1222          : 0.004698
V1223          : 0.004900
V1224          : 0.002060
V1225          : 0.003950
V1226          : -0.000000
V1227          : 0.000000
V1228          : 0.000350
V1229          : -0.000931
V1230          : 0.000000
V1232          : 0.003914
V1233          : 0.005285
V1234          : 0.004837
V1236          : 0.003328
V1237          : 0.004995
V1238          : 0.004575
V1239          : 0.004869
V1240          : 0.000069
V1241          : 0.005091
V1242          : 0.000000
V1243          : 0.003270
V1244          : -0.003756
V1245          : 0.000114
V1246          : -0.004927
V1247          : -0.004308
V1248          : 0.002822
V1249          : 0.004913
V1250          : 0.004506
V1251          : 0.005406
V1252          : -0.002267
V1253          : 0.005046
V1254          : 0.005104
V1255          : -0.001717
V1256          : 0.000180
V1258          : 0.005080
V1262          : 0.002108
V1264          : -0.003336
V1265          : 0.000000
V1266          : 0.006041
V1267          : 0.002261
V1270          : 0.004909
V1271          : 0.004792
V1272          : 0.004684
V1273          : 0.004954
V1275          : 0.004724
V1276          : 0.004698
V1280          : 0.005074
V1281          : 0.003658
V1282          : -0.001470
V1283          : 0.005006
V1284          : 0.004748
V1285          : 0.004436
V1286          : -0.000000
V1288          : 0.000000
V1290          : 0.005011
V1291          : 0.004313
V1292          : 0.000896
V1293          : 0.004979
V1294          : -0.003761
V1297          : -0.004076
V1298          : 0.004551
V1299          : 0.005351
V1300          : 0.004887
V1301          : 0.002192
V1302          : 0.001779
V1303          : 0.004309
V1304          : 0.002738
V1305          : 0.003570
V1307          : 0.004725
V1309          : 0.004999
V1310          : 0.004581
V1311          : 0.002571
V1312          : 0.000000
V1313          : -0.004913
V1314          : -0.003055
V1315          : 0.002743
V1316          : -0.004482
V1317          : 0.001985
V1318          : 0.005108
V1320          : -0.001951
V1322          : -0.006331
V1324          : 0.003885
V1325          : 0.004041
V1327          : 0.002431
V1328          : 0.000000
V1329          : 0.002762
V1330          : 0.004645
V1331          : 0.000000
V1333          : -0.004008
V1334          : 0.004328
V1335          : 0.003295
V1336          : 0.003864
V1337          : -0.005620
V1338          : 0.004747
V1340          : 0.001434
V1341          : 0.004615
V1343          : 0.004683
V1344          : 0.005108
V1345          : 0.005392
V1346          : 0.000000
V1347          : 0.005210
V1348          : 0.004598
V1349          : 0.003385
V1350          : 0.005136
V1351          : -0.003195
V1352          : -0.000000
V1353          : 0.005081
V1354          : 0.004142
V1355          : 0.003117
V1356          : 0.004210
V1357          : 0.004901
V1358          : 0.005223
V1359          : 0.002138
V1361          : 0.002808
V1362          : 0.002809
V1363          : -0.002710
V1364          : 0.001548
V1365          : -0.000709
V1367          : 0.001748
V1368          : 0.000084
V1369          : 0.005215
V1370          : 0.005133
V1371          : 0.005066
V1372          : -0.000000
V1373          : 0.005153
V1374          : -0.006007
V1376          : 0.001309
V1377          : 0.004913
V1378          : -0.000000
V1379          : 0.000239
V1380          : -0.002850
V1381          : 0.003863
V1382          : 0.005000
V1383          : 0.004673
V1384          : 0.000000
V1385          : 0.000000
V1386          : -0.000091
V1387          : 0.004296
V1388          : 0.004100
V1389          : 0.004826
V1390          : -0.000000
V1391          : 0.001964
V1393          : -0.004437
V1394          : -0.000000
V1395          : 0.004012
V1396          : 0.001960
V1397          : 0.004069
V1398          : 0.004151
V1399          : 0.004820
V1401          : 0.002269
V1402          : 0.005735
V1403          : 0.005066
V1404          : 0.003943
V1407          : 0.005779
V1408          : 0.000000
V1409          : 0.004645
V1411          : -0.004184
V1413          : 0.004815
V1414          : 0.003433
V1415          : 0.003728
V1416          : 0.004943
V1417          : 0.004554
V1418          : -0.003012
V1419          : -0.003466
V1421          : 0.005072
V1422          : 0.000000
V1423          : 0.000331
V1425          : 0.004676
V1426          : 0.004908
V1427          : 0.004451
V1429          : -0.000000
V1431          : 0.001074
V1432          : 0.003136
V1433          : 0.005115
V1437          : 0.004928
V1438          : 0.003606
V1439          : 0.003629
V1440          : 0.005528
V1441          : 0.003303
V1445          : 0.004632
V1446          : -0.002079
V1448          : 0.005795
V1449          : 0.004783
V1452          : -0.005749
V1453          : 0.001881
V1454          : 0.004598
V1455          : -0.001281
V1456          : -0.002803
V1457          : 0.003295
V1458          : -0.003601
V1459          : 0.004520
V1460          : 0.005141
V1461          : 0.000882
V1462          : -0.001316
V1464          : -0.005208
V1465          : -0.003993
V1466          : 0.000000
V1467          : 0.005331
V1468          : 0.003795
V1469          : 0.004520
V1470          : 0.004937
V1471          : -0.005792
V1472          : 0.000000
V1474          : -0.001782
V1478          : 0.004369
V1479          : 0.003045
V1480          : 0.005402
V1481          : 0.004176
V1482          : 0.005098
V1483          : 0.003238
V1484          : 0.004235
V1486          : 0.004633
V1487          : 0.002973
V1488          : 0.006620
V1489          : -0.000632
V1491          : 0.005110
V1492          : 0.004877
V1493          : 0.004674
V1494          : 0.004583
V1495          : -0.000592
V1496          : 0.000000
V1497          : -0.002764
V1498          : 0.002485
V1499          : 0.003917
V1501          : -0.000512
V1502          : 0.005146
V1503          : 0.001221
V1504          : 0.004890
V1505          : -0.000197
V1506          : 0.001900
V1507          : 0.005141
V1508          : 0.000809
V1509          : 0.000608
V1510          : 0.000364
V1512          : -0.002525
V1513          : 0.005443
V1514          : 0.005052
V1515          : 0.005528
V1516          : -0.000000
V1517          : 0.000000
V1519          : 0.004124
V1520          : -0.003730
V1521          : 0.004885
V1522          : 0.004659
V1523          : 0.003514
V1524          : 0.005406
V1525          : 0.002823
V1526          : 0.004419
V1527          : 0.000408
V1528          : 0.004971
V1529          : 0.005025
V1531          : 0.003043
V1533          : 0.004590
V1534          : 0.000000
V1535          : 0.003658
V1536          : -0.004229
V1537          : -0.000000
V1538          : 0.004381
V1539          : 0.003995
V1540          : -0.007961
V1541          : 0.005112
V1542          : 0.003416
V1543          : 0.003384
V1544          : 0.003768
V1545          : 0.001878
V1548          : 0.003923
V1549          : 0.001179
V1550          : 0.004598
V1551          : 0.005240
V1553          : -0.002497
V1554          : 0.004639
V1555          : -0.003413
V1556          : -0.005041
V1557          : 0.005198
V1558          : 0.005008
V1559          : 0.004066
V1560          : 0.003420
V1562          : 0.002006
V1564          : 0.003813
V1565          : -0.007440
V1566          : 0.003150
V1567          : 0.004542
V1568          : 0.005166
V1569          : -0.002055
V1570          : 0.005911
V1571          : 0.004326
V1572          : 0.000496
V1573          : -0.000329
V1574          : 0.004827
V1575          : -0.000000
V1576          : 0.003570
V1577          : 0.004295
V1578          : 0.002446
V1580          : -0.005269
V1581          : -0.003552
V1582          : -0.000000
V1583          : 0.003930
V1584          : -0.000000
V1585          : 0.005279
V1586          : -0.002600
V1587          : 0.003868
V1588          : -0.000000
V1589          : 0.000000
V1590          : -0.003438
V1591          : 0.005225
V1592          : 0.001256
V1593          : 0.003713
V1594          : 0.002283
V1595          : 0.004954
V1596          : 0.000010
V1597          : 0.004920
V1598          : 0.000000
V1599          : -0.000000
V1600          : 0.004955
V1601          : 0.004468
V1604          : 0.004186
V1605          : 0.004919
V1606          : 0.002850
V1607          : 0.005169
V1608          : 0.004281
V1609          : 0.003239
V1610          : 0.005080
V1611          : -0.001457
V1613          : 0.000368
V1614          : 0.005001
V1615          : 0.005704
V1616          : 0.004941
V1617          : 0.004931
V1618          : -0.000000
V1619          : 0.005121
V1620          : -0.000000
V1621          : 0.002064
V1622          : 0.000000
V1623          : 0.003898
V1624          : 0.000000
V1625          : 0.004974
V1626          : -0.003717
V1627          : -0.006539
V1628          : -0.005739
V1630          : 0.002217
V1631          : 0.005056
V1633          : 0.004023
V1634          : 0.003097
V1636          : 0.004836
V1637          : 0.000253
V1638          : -0.001063
V1639          : 0.005138
V1640          : -0.000184
V1641          : 0.004052
V1642          : 0.005370
V1643          : 0.005491
V1644          : 0.004793
V1645          : 0.004845
V1646          : 0.003429
V1647          : -0.000000
V1648          : -0.002245
V1649          : -0.001809
V1650          : 0.004285
V1651          : -0.003284
V1652          : 0.005038
V1653          : 0.002523
V1655          : -0.001799
V1656          : 0.003999
V1660          : 0.006025
V1661          : 0.004125
V1662          : 0.005108
V1663          : 0.004978
V1664          : 0.005848
V1666          : 0.003812
V1668          : -0.002584
V1669          : 0.001871
V1670          : -0.003124
V1671          : 0.005486
V1672          : 0.004998
V1673          : 0.003946
V1674          : 0.003102
V1676          : 0.005025
V1677          : 0.005327
V1678          : 0.004659
V1680          : 0.004900
V1681          : 0.004814
V1683          : 0.004901
V1684          : -0.003955
V1685          : 0.005032
V1687          : 0.000522
V1689          : 0.004269
V1690          : 0.004651
V1692          : 0.001359
V1694          : 0.003023
V1695          : 0.005140
V1697          : 0.004661
V1698          : 0.004829
V1699          : 0.000933
V1700          : -0.000273
V1702          : 0.005937
V1703          : 0.005090
V1705          : 0.005160
V1707          : 0.004891
V1708          : 0.005329
V1709          : 0.004714
V1710          : 0.004258
V1711          : 0.003914
V1712          : -0.000000
V1713          : 0.004514
V1714          : 0.003532
V1715          : 0.002999
V1716          : 0.005343
V1717          : 0.003640
V1718          : 0.001636
V1719          : 0.000410
V1721          : 0.006063
V1722          : 0.002467
V1723          : 0.002958
V1724          : 0.003755
V1725          : -0.004846
