custom_lambda_0.0011 Coefficients
==================================================
Bias Term      : -0.005624
V395           : 0.003363
V396           : -0.005085
V397           : 0.005687
V399           : 0.006526
V400           : 0.006850
V404           : 0.004868
V405           : 0.000532
V406           : 0.004277
V407           : 0.009394
V408           : 0.008372
V409           : -0.005825
V410           : 0.005827
V411           : 0.005676
V412           : 0.003887
V413           : -0.000885
V414           : 0.005984
V415           : 0.006046
V416           : -0.004768
V417           : 0.003771
V419           : -0.000535
V420           : 0.006503
V421           : 0.003463
V422           : -0.001415
V424           : 0.006163
V425           : 0.004376
V428           : -0.001739
V430           : 0.001621
V435           : 0.004155
V437           : 0.005833
V442           : 0.004552
V443           : 0.005311
V444           : 0.002837
V445           : 0.002677
V446           : 0.003304
V448           : 0.000928
V449           : 0.004354
V450           : 0.006147
V451           : 0.001058
V452           : 0.001017
V453           : 0.005475
V456           : 0.005754
V459           : 0.005665
V460           : 0.002226
V461           : 0.000070
V462           : 0.005705
V463           : 0.003228
V464           : 0.005622
V466           : -0.002514
V467           : -0.004351
V469           : -0.001860
V471           : 0.006132
V472           : 0.005605
V473           : 0.005502
V475           : 0.002985
V477           : 0.004684
V479           : 0.004670
V480           : 0.003364
V481           : 0.001478
V482           : 0.004758
V483           : 0.002029
V484           : 0.006086
V485           : 0.005462
V486           : -0.003501
V489           : 0.004750
V490           : 0.005701
V491           : 0.003689
V492           : 0.005374
V493           : 0.006351
V494           : 0.003820
V496           : 0.006464
V498           : -0.003634
V499           : -0.006141
V500           : 0.005699
V501           : -0.008410
V502           : 0.005861
V504           : -0.002016
V505           : 0.005222
V506           : 0.003378
V507           : 0.005529
V508           : 0.005969
V509           : 0.005700
V512           : 0.001127
V513           : 0.005958
V514           : 0.004919
V517           : 0.005208
V519           : 0.005882
V521           : 0.005787
V522           : 0.004708
V523           : 0.004565
V524           : -0.004724
V525           : 0.004367
V528           : 0.005741
V529           : -0.000833
V530           : -0.004452
V531           : -0.005801
V532           : 0.002868
V533           : 0.006017
V534           : 0.004412
V537           : 0.005991
V539           : 0.004843
V540           : -0.004642
V542           : 0.006109
V543           : 0.005401
V544           : 0.002795
V545           : 0.002557
V547           : 0.001587
V548           : 0.005694
V549           : 0.003348
V550           : -0.001926
V556           : 0.001274
V557           : 0.004185
V558           : 0.000445
V559           : -0.002654
V560           : -0.003510
V561           : 0.004187
V562           : 0.005487
V563           : 0.004831
V564           : 0.004346
V565           : -0.003782
V567           : 0.005534
V568           : 0.005687
V571           : 0.005569
V572           : 0.005841
V573           : 0.005336
V574           : 0.004456
V575           : 0.005702
V576           : 0.005918
V577           : 0.005140
V578           : 0.005733
V579           : 0.003425
V580           : 0.005645
V582           : 0.005516
V583           : 0.006006
V585           : 0.004780
V587           : 0.006171
V589           : 0.000242
V590           : -0.005103
V591           : -0.004290
V592           : 0.004991
V594           : 0.005674
V595           : 0.006300
V597           : 0.001928
V598           : -0.000443
V600           : 0.004422
V602           : 0.003244
V603           : 0.005786
V604           : 0.005636
V605           : 0.004093
V606           : 0.005793
V608           : 0.000222
V610           : 0.002426
V611           : 0.005162
V612           : -0.002498
V613           : 0.003412
V614           : 0.006034
V615           : 0.005838
V616           : 0.005991
V617           : 0.005450
V618           : -0.004559
V619           : 0.005454
V622           : 0.003254
V623           : 0.006151
V624           : 0.006015
V625           : 0.004819
V626           : 0.005351
V627           : 0.005401
V628           : 0.005225
V629           : -0.000481
V630           : -0.003049
V631           : 0.005955
V632           : 0.004432
V633           : -0.004774
V634           : 0.005700
V635           : 0.004440
V636           : 0.005578
V637           : 0.006379
V638           : 0.006009
V639           : 0.005919
V640           : 0.005612
V642           : 0.005317
V643           : 0.005712
V645           : 0.000946
V646           : 0.003558
V648           : 0.005406
V649           : 0.006006
V650           : 0.004756
V651           : -0.002588
V652           : 0.006065
V653           : 0.003696
V659           : 0.005678
V660           : 0.005664
V661           : 0.005910
V662           : 0.006464
V663           : 0.004413
V664           : -0.001327
V666           : -0.003204
V667           : 0.004362
V669           : 0.005785
V670           : -0.005712
V671           : 0.002104
V672           : 0.005729
V673           : 0.005309
V674           : 0.006098
V675           : 0.006079
V677           : 0.005654
V678           : 0.005965
V679           : 0.003205
V680           : 0.005869
V681           : 0.005839
V682           : -0.001281
V683           : 0.001300
V684           : 0.005881
V686           : 0.006428
V687           : 0.005214
V688           : 0.002798
V689           : -0.002923
V690           : 0.005826
V691           : 0.004697
V692           : 0.004434
V693           : 0.005624
V694           : 0.000202
V696           : 0.003053
V697           : 0.003881
V698           : -0.003661
V699           : 0.005832
V700           : -0.000500
V702           : -0.003009
V703           : 0.005371
V704           : -0.003577
V707           : 0.005941
V708           : -0.005918
V709           : 0.000452
V710           : 0.001192
V711           : 0.004824
V712           : 0.004094
V713           : 0.005508
V715           : 0.005978
V716           : 0.006751
V719           : 0.006142
V720           : -0.003832
V722           : 0.005888
V723           : -0.001943
V728           : -0.000060
V729           : -0.001179
V730           : -0.004059
V731           : 0.006076
V735           : 0.006106
V739           : -0.002671
V741           : 0.005387
V744           : 0.005370
V745           : 0.005672
V747           : 0.005267
V748           : 0.005010
V749           : 0.004724
V752           : 0.005625
V753           : 0.004337
V754           : 0.005886
V755           : -0.001131
V756           : 0.004832
V757           : -0.005054
V758           : 0.006325
V759           : 0.006004
V760           : 0.000429
V762           : 0.004904
V763           : 0.005920
V764           : 0.003618
V766           : 0.005077
V768           : 0.004695
V769           : 0.006191
V770           : -0.001007
V771           : 0.004719
V772           : -0.005507
V774           : 0.005904
V775           : 0.005964
V776           : 0.004943
V777           : 0.006809
V778           : 0.005725
V780           : 0.006280
V781           : -0.004104
V782           : 0.005519
V783           : 0.004672
V785           : 0.005973
V786           : 0.005644
V788           : 0.005866
V790           : 0.004460
V791           : 0.005581
V793           : -0.002379
V794           : 0.005542
V795           : -0.000019
V796           : -0.000298
V797           : -0.004542
V798           : 0.006241
V800           : 0.004658
V801           : -0.004455
V803           : 0.003471
V806           : 0.005744
V807           : 0.002484
V808           : 0.001682
V809           : 0.005870
V810           : 0.005536
V811           : -0.004866
V813           : -0.003877
V814           : -0.000756
V815           : 0.005920
V816           : 0.005867
V819           : 0.005324
V822           : -0.002367
V823           : -0.001984
V825           : 0.005693
V826           : 0.005934
V827           : 0.005747
V828           : 0.005895
V829           : 0.006144
V831           : 0.002009
V832           : 0.004884
V833           : 0.004110
V834           : 0.003572
V836           : 0.002432
V837           : 0.005617
V839           : 0.005497
V842           : 0.005217
V843           : 0.004646
V844           : 0.004801
V845           : 0.004455
V846           : 0.003327
V849           : -0.003487
V850           : 0.005008
V851           : 0.004902
V853           : 0.005873
V854           : -0.004004
V856           : -0.000679
V857           : 0.005623
V859           : 0.005321
V860           : 0.006002
V861           : 0.005044
V862           : 0.006165
V863           : 0.004981
V864           : 0.005208
V865           : 0.005564
V867           : 0.001755
V871           : 0.002973
V872           : 0.005534
V873           : 0.000498
V874           : -0.001610
V875           : 0.005552
V876           : 0.004394
V877           : 0.005488
V878           : 0.001255
V880           : 0.005978
V883           : 0.005787
V885           : 0.005956
V886           : 0.005186
V887           : 0.005169
V888           : 0.006342
V889           : 0.005994
V890           : 0.005843
V892           : 0.005363
V893           : 0.005879
V894           : -0.001735
V895           : 0.005897
V896           : 0.006001
V897           : -0.004542
V898           : 0.002387
V899           : 0.004996
V900           : 0.005748
V903           : 0.005334
V904           : 0.005667
V905           : 0.004777
V906           : 0.005969
V907           : -0.000411
V910           : 0.005193
V911           : 0.006191
V913           : 0.005876
V914           : 0.005791
V916           : 0.005973
V917           : 0.001653
V918           : 0.004281
V920           : -0.006327
V921           : -0.004686
V922           : 0.001165
V925           : 0.005929
V926           : 0.006692
V927           : 0.002391
V928           : 0.005672
V929           : -0.005562
V930           : 0.005047
V931           : -0.000469
V933           : 0.005735
V934           : -0.003498
V935           : -0.004062
V936           : 0.004148
V937           : 0.006016
V938           : 0.005092
V939           : -0.005001
V940           : -0.006534
V941           : 0.005676
V942           : -0.000457
V943           : -0.004063
V944           : 0.005613
V945           : -0.002044
V946           : 0.006269
V947           : 0.005863
V948           : 0.005047
V949           : -0.003812
V950           : 0.004162
V951           : 0.003794
V952           : -0.003395
V953           : -0.000193
V954           : 0.006398
V956           : -0.006000
V957           : 0.004362
V961           : 0.005805
V963           : 0.003186
V964           : 0.005841
V965           : 0.005379
V966           : 0.004719
V967           : 0.006025
V968           : 0.006783
V969           : 0.005796
V970           : 0.003991
V972           : 0.006471
V974           : 0.005010
V975           : 0.005519
V976           : -0.000079
V977           : 0.005837
V978           : 0.005986
V979           : 0.005794
V982           : 0.003593
V984           : 0.005743
V985           : -0.000526
V986           : -0.002354
V987           : 0.002811
V988           : 0.005590
V989           : 0.005556
V990           : 0.004162
V991           : -0.003102
V992           : 0.005893
V993           : 0.006055
V994           : 0.004328
V995           : 0.000922
V996           : 0.005914
V997           : -0.002587
V998           : 0.004568
V999           : 0.005611
V1000          : -0.000343
V1001          : 0.005386
V1002          : 0.005718
V1003          : 0.005727
V1005          : 0.005480
V1006          : -0.004261
V1007          : 0.006021
V1008          : 0.005170
V1009          : 0.002098
V1010          : 0.005080
V1011          : 0.005803
V1012          : 0.006034
V1013          : 0.005977
V1014          : 0.003630
V1015          : -0.008253
V1016          : -0.008936
V1017          : 0.000211
V1018          : -0.009468
V1019          : -0.001840
V1020          : 0.005987
V1022          : 0.003968
V1023          : 0.005032
V1024          : 0.004707
V1025          : -0.000000
V1026          : -0.015090
V1027          : 0.005438
V1028          : 0.002747
V1029          : 0.004571
V1030          : 0.004384
V1031          : 0.005274
V1032          : 0.005115
V1033          : 0.005254
V1035          : 0.003075
V1036          : 0.006102
V1037          : 0.006081
V1038          : -0.004052
V1041          : 0.001707
V1043          : 0.005877
V1044          : 0.004728
V1046          : 0.003851
V1047          : 0.005930
V1048          : -0.004824
V1049          : 0.005491
V1050          : 0.004100
V1052          : -0.004795
V1054          : 0.006246
V1055          : 0.006275
V1056          : 0.005616
V1057          : 0.005327
V1058          : 0.006033
V1059          : 0.006234
V1060          : 0.004549
V1061          : 0.004628
V1062          : -0.000938
V1063          : 0.005989
V1064          : -0.004973
V1065          : -0.002610
V1066          : 0.005656
V1070          : -0.004524
V1071          : 0.005992
V1072          : -0.001456
V1073          : 0.000068
V1075          : -0.004214
V1076          : -0.000382
V1077          : -0.001162
V1078          : 0.003955
V1080          : 0.005622
V1082          : 0.000085
V1084          : 0.005596
V1085          : -0.004671
V1086          : 0.004309
V1087          : -0.001291
V1089          : 0.005483
V1091          : -0.004216
V1093          : 0.004882
V1094          : 0.000695
V1095          : 0.005562
V1096          : 0.005513
V1099          : -0.003408
V1101          : -0.002535
V1102          : 0.006059
V1104          : 0.005220
V1105          : 0.006076
V1106          : 0.005358
V1107          : 0.004314
V1108          : 0.005998
V1109          : 0.001768
V1110          : 0.004108
V1114          : -0.001172
V1115          : 0.004707
V1116          : 0.005776
V1117          : 0.005672
V1118          : 0.005862
V1119          : 0.005632
V1120          : 0.000945
V1121          : 0.005628
V1122          : 0.006056
V1123          : 0.005296
V1124          : -0.005209
V1126          : 0.005872
V1127          : 0.005146
V1128          : 0.005369
V1130          : 0.005540
V1131          : 0.005810
V1132          : 0.002697
V1134          : 0.005873
V1136          : 0.002790
V1137          : 0.006695
V1138          : 0.004776
V1139          : 0.000000
V1140          : -0.008269
V1141          : -0.000717
V1142          : 0.005890
V1144          : 0.005788
V1145          : 0.005622
V1147          : -0.002722
V1148          : 0.004614
V1149          : 0.005057
V1150          : 0.006177
V1151          : 0.003909
V1152          : 0.005681
V1153          : 0.005586
V1154          : 0.005796
V1156          : 0.004965
V1157          : 0.005881
V1158          : 0.005647
V1159          : 0.006273
V1160          : -0.001394
V1162          : 0.005252
V1163          : 0.005875
V1164          : 0.004574
V1165          : 0.005568
V1168          : 0.005104
V1169          : -0.000945
V1170          : -0.006127
V1171          : 0.005808
V1172          : -0.001699
V1173          : 0.005431
V1174          : 0.006024
V1176          : 0.002520
V1178          : 0.005505
V1179          : -0.003642
V1181          : 0.004513
V1182          : 0.006106
V1183          : 0.004771
V1184          : 0.004696
V1185          : 0.005359
V1186          : -0.009008
V1187          : 0.004848
V1188          : -0.007826
V1190          : -0.002513
V1191          : -0.002033
V1193          : 0.002326
V1197          : 0.006295
V1201          : 0.005990
V1204          : 0.004189
V1205          : 0.003273
V1206          : 0.006817
V1208          : 0.005628
V1209          : 0.005510
V1210          : 0.006017
V1211          : 0.006116
V1212          : -0.003109
V1213          : 0.005450
V1214          : 0.005066
V1215          : 0.006611
V1216          : 0.003833
V1218          : 0.005633
V1220          : 0.005466
V1221          : -0.003886
V1222          : 0.005676
V1223          : 0.005940
V1224          : 0.003308
V1225          : 0.005216
V1226          : -0.001590
V1227          : 0.000478
V1228          : 0.002110
V1229          : -0.003911
V1230          : 0.000924
V1232          : 0.005006
V1233          : 0.007231
V1234          : 0.005835
V1236          : 0.004909
V1237          : 0.005806
V1238          : 0.005671
V1239          : 0.005610
V1240          : 0.001829
V1241          : 0.006205
V1242          : 0.000602
V1243          : 0.004159
V1244          : -0.004071
V1245          : 0.000394
V1246          : -0.005609
V1247          : -0.005378
V1248          : 0.004367
V1249          : 0.005635
V1250          : 0.005507
V1251          : 0.006107
V1252          : -0.003553
V1253          : 0.005935
V1254          : 0.005901
V1255          : -0.003460
V1256          : 0.001450
V1258          : 0.005886
V1262          : 0.003042
V1264          : -0.003751
V1265          : 0.000093
V1266          : 0.008065
V1267          : 0.003697
V1270          : 0.005651
V1271          : 0.005961
V1272          : 0.005760
V1273          : 0.005848
V1275          : 0.005675
V1276          : 0.005687
V1280          : 0.005894
V1281          : 0.004575
V1282          : -0.002571
V1283          : 0.005725
V1284          : 0.005729
V1285          : 0.005455
V1286          : -0.001399
V1288          : 0.000310
V1290          : 0.005860
V1291          : 0.005517
V1292          : 0.002655
V1293          : 0.005820
V1294          : -0.007364
V1297          : -0.004640
V1298          : 0.005770
V1299          : 0.006082
V1300          : 0.005646
V1301          : 0.003643
V1302          : 0.002660
V1303          : 0.005889
V1304          : 0.004911
V1305          : 0.004705
V1307          : 0.005614
V1309          : 0.006149
V1310          : 0.005629
V1311          : 0.004101
V1312          : 0.002013
V1313          : -0.005526
V1314          : -0.004007
V1315          : 0.004378
V1316          : -0.006071
V1317          : 0.003689
V1318          : 0.005993
V1320          : -0.003456
V1322          : -0.008178
V1324          : 0.005064
V1325          : 0.005190
V1327          : 0.003696
V1328          : 0.000442
V1329          : 0.004281
V1330          : 0.005714
V1331          : 0.000842
V1333          : -0.004402
V1334          : 0.005664
V1335          : 0.004298
V1336          : 0.004875
V1337          : -0.006469
V1338          : 0.006360
V1340          : 0.002738
V1341          : 0.005381
V1343          : 0.005521
V1344          : 0.005936
V1345          : 0.006359
V1346          : 0.000090
V1347          : 0.006020
V1348          : 0.005437
V1349          : 0.005969
V1350          : 0.005902
V1351          : -0.003454
V1352          : -0.000272
V1353          : 0.005822
V1354          : 0.004935
V1355          : 0.004745
V1356          : 0.005368
V1357          : 0.005642
V1358          : 0.006151
V1359          : 0.003716
V1361          : 0.004206
V1362          : 0.004527
V1363          : -0.002889
V1364          : 0.002892
V1365          : -0.001949
V1367          : 0.003280
V1368          : 0.000695
V1369          : 0.006009
V1370          : 0.005907
V1371          : 0.005956
V1372          : -0.001410
V1373          : 0.005893
V1374          : -0.008481
V1376          : 0.002045
V1377          : 0.005743
V1378          : -0.000115
V1379          : 0.001507
V1380          : -0.004848
V1381          : 0.004709
V1382          : 0.005731
V1383          : 0.005595
V1384          : 0.000146
V1385          : 0.001793
V1386          : -0.000457
V1387          : 0.005281
V1388          : 0.005203
V1389          : 0.005798
V1390          : -0.001028
V1391          : 0.003445
V1393          : -0.006109
V1394          : -0.000496
V1395          : 0.005104
V1396          : 0.003736
V1397          : 0.004828
V1398          : 0.005583
V1399          : 0.005492
V1401          : 0.003807
V1402          : 0.007325
V1403          : 0.005822
V1404          : 0.005683
V1407          : 0.007564
V1408          : 0.000359
V1409          : 0.005599
V1411          : -0.004621
V1413          : 0.005637
V1414          : 0.004962
V1415          : 0.005123
V1416          : 0.005810
V1417          : 0.005755
V1418          : -0.004283
V1419          : -0.004644
V1421          : 0.005802
V1422          : 0.001062
V1423          : 0.001470
V1425          : 0.005613
V1426          : 0.005759
V1427          : 0.005697
V1429          : -0.000290
V1431          : 0.003784
V1432          : 0.004427
V1433          : 0.005885
V1437          : 0.005679
V1438          : 0.004504
V1439          : 0.004720
V1440          : 0.006843
V1441          : 0.004470
V1445          : 0.005889
V1446          : -0.003903
V1448          : 0.007215
V1449          : 0.005951
V1452          : -0.006766
V1453          : 0.003801
V1454          : 0.005489
V1455          : -0.001448
V1456          : -0.003085
V1457          : 0.004733
V1458          : -0.005149
V1459          : 0.005635
V1460          : 0.006004
V1461          : 0.002807
V1462          : -0.002864
V1464          : -0.006031
V1465          : -0.004732
V1466          : 0.001275
V1467          : 0.006572
V1468          : 0.005167
V1469          : 0.005856
V1470          : 0.006382
V1471          : -0.007320
V1472          : 0.000605
V1474          : -0.004696
V1478          : 0.005832
V1479          : 0.004615
V1480          : 0.006311
V1481          : 0.005238
V1482          : 0.005828
V1483          : 0.004926
V1484          : 0.005420
V1486          : 0.005508
V1487          : 0.004613
V1488          : 0.007952
V1489          : -0.001768
V1491          : 0.006521
V1492          : 0.005734
V1493          : 0.005914
V1494          : 0.005764
V1495          : -0.002392
V1496          : 0.001918
V1497          : -0.004005
V1498          : 0.003535
V1499          : 0.004807
V1501          : -0.001827
V1502          : 0.006451
V1503          : 0.002274
V1504          : 0.005795
V1505          : -0.001933
V1506          : 0.003375
V1507          : 0.005883
V1508          : 0.002293
V1509          : 0.002210
V1510          : 0.001594
V1512          : -0.002845
V1513          : 0.006199
V1514          : 0.005858
V1515          : 0.006253
V1516          : -0.000522
V1517          : 0.001104
V1519          : 0.005038
V1520          : -0.008951
V1521          : 0.005693
V1522          : 0.005564
V1523          : 0.005957
V1524          : 0.006367
V1525          : 0.003289
V1526          : 0.005263
V1527          : 0.002879
V1528          : 0.005722
V1529          : 0.005863
V1531          : 0.005842
V1533          : 0.005477
V1534          : 0.000224
V1535          : 0.005029
V1536          : -0.005110
V1537          : -0.001105
V1538          : 0.005610
V1539          : 0.005102
V1540          : -0.009488
V1541          : 0.005830
V1542          : 0.004953
V1543          : 0.005079
V1544          : 0.006467
V1545          : 0.003376
V1548          : 0.005532
V1549          : 0.002621
V1550          : 0.005647
V1551          : 0.006078
V1553          : -0.002641
V1554          : 0.005430
V1555          : -0.003725
V1556          : -0.005697
V1557          : 0.005981
V1558          : 0.005825
V1559          : 0.005100
V1560          : 0.004374
V1562          : 0.003138
V1564          : 0.004945
V1565          : -0.009755
V1566          : 0.004703
V1567          : 0.005650
V1568          : 0.006008
V1569          : -0.004907
V1570          : 0.006916
V1571          : 0.005532
V1572          : 0.005947
V1573          : -0.002534
V1574          : 0.005568
V1575          : -0.002422
V1576          : 0.004762
V1577          : 0.005590
V1578          : 0.004514
V1580          : -0.006145
V1581          : -0.004177
V1582          : -0.000049
V1583          : 0.005002
V1584          : -0.000256
V1585          : 0.006141
V1586          : -0.003107
V1587          : 0.005522
V1588          : -0.003368
V1589          : 0.000457
V1590          : -0.004182
V1591          : 0.005993
V1592          : 0.004235
V1593          : 0.005151
V1594          : 0.003778
V1595          : 0.005722
V1596          : 0.001304
V1597          : 0.005742
V1598          : 0.000193
V1599          : -0.000581
V1600          : 0.005921
V1601          : 0.005450
V1604          : 0.005020
V1605          : 0.005805
V1606          : 0.004191
V1607          : 0.005846
V1608          : 0.005441
V1609          : 0.004783
V1610          : 0.005880
V1611          : -0.002508
V1613          : 0.002546
V1614          : 0.005761
V1615          : 0.006774
V1616          : 0.005797
V1617          : 0.005799
V1618          : -0.000971
V1619          : 0.006330
V1620          : -0.000552
V1621          : 0.003822
V1622          : 0.001575
V1623          : 0.005075
V1624          : 0.000985
V1625          : 0.005830
V1626          : -0.006529
V1627          : -0.009162
V1628          : -0.006884
V1630          : 0.003642
V1631          : 0.005831
V1633          : 0.005282
V1634          : 0.004432
V1636          : 0.005647
V1637          : 0.001810
V1638          : -0.002073
V1639          : 0.005834
V1640          : -0.002196
V1641          : 0.005516
V1642          : 0.006564
V1643          : 0.006747
V1644          : 0.005613
V1645          : 0.005674
V1646          : 0.004578
V1647          : -0.000274
V1648          : -0.005553
V1649          : -0.002858
V1650          : 0.005260
V1651          : -0.003764
V1652          : 0.005830
V1653          : 0.003931
V1655          : -0.002111
V1656          : 0.005197
V1660          : 0.007034
V1661          : 0.004937
V1662          : 0.005823
V1663          : 0.006394
V1664          : 0.006988
V1666          : 0.005103
V1668          : -0.002756
V1669          : 0.003432
V1670          : -0.003945
V1671          : 0.006683
V1672          : 0.006334
V1673          : 0.005307
V1674          : 0.004401
V1676          : 0.005924
V1677          : 0.006090
V1678          : 0.005831
V1680          : 0.005949
V1681          : 0.005492
V1683          : 0.005803
V1684          : -0.004360
V1685          : 0.005920
V1687          : 0.001042
V1689          : 0.005028
V1690          : 0.005602
V1692          : 0.002760
V1694          : 0.004316
V1695          : 0.005968
V1697          : 0.005727
V1698          : 0.005806
V1699          : 0.003434
V1700          : -0.001507
V1702          : 0.007407
V1703          : 0.005910
V1705          : 0.006133
V1707          : 0.005646
V1708          : 0.006400
V1709          : 0.006100
V1710          : 0.006710
V1711          : 0.005120
V1712          : -0.000122
V1713          : 0.005619
V1714          : 0.004882
V1715          : 0.003757
V1716          : 0.006060
V1717          : 0.005195
V1718          : 0.003448
V1719          : 0.001998
V1721          : 0.007215
V1722          : 0.004384
V1723          : 0.004651
V1724          : 0.004825
V1725          : -0.006355
