custom_lambda_0.0030 Coefficients
==================================================
Bias Term      : -0.005602
V174           : 0.005113
V175           : -0.000011
V177           : 0.002799
V178           : 0.004255
V179           : -0.004979
V180           : 0.005923
V181           : 0.005842
V182           : -0.005431
V183           : 0.000020
V184           : -0.002539
V185           : 0.004748
V186           : -0.002961
V187           : 0.001509
V188           : 0.005756
V190           : -0.005973
V192           : 0.003988
V194           : 0.005468
V195           : 0.006173
V196           : 0.005762
V197           : -0.003354
V198           : 0.000413
V199           : 0.003882
V201           : 0.006602
V202           : -0.002729
V203           : 0.005316
V204           : 0.006193
V205           : 0.005962
V207           : 0.003929
V208           : 0.005048
V209           : -0.001174
V210           : 0.005239
V211           : 0.005987
V212           : 0.005954
V213           : 0.006030
V214           : 0.006034
V216           : 0.005946
V217           : 0.005947
V218           : 0.005578
V219           : 0.003092
V220           : 0.005922
V221           : -0.004656
V222           : -0.002072
V224           : 0.005953
V225           : -0.004154
V226           : 0.005972
V227           : 0.005610
V228           : 0.005696
V229           : 0.005121
V230           : 0.005926
V231           : -0.000000
V232           : -0.001584
V233           : 0.005721
V234           : 0.001637
V235           : 0.004884
V238           : 0.005434
V240           : 0.008137
V242           : -0.002447
V244           : 0.005832
V249           : 0.004862
V253           : 0.006110
V254           : 0.005769
V255           : 0.000389
V256           : -0.004891
V257           : 0.005849
V259           : 0.004629
V260           : -0.003660
V262           : -0.005186
V263           : -0.001468
V264           : 0.005207
V265           : 0.003760
V267           : 0.006620
V268           : 0.004943
V269           : -0.005196
V273           : -0.000000
V274           : 0.005710
V275           : 0.005888
V276           : 0.005152
V278           : 0.003024
V279           : 0.005663
V280           : 0.005806
V283           : 0.005483
V284           : 0.006032
V285           : 0.000967
V286           : -0.006818
V287           : -0.003462
V289           : -0.004216
V290           : -0.002780
V293           : 0.006089
V294           : 0.005699
V295           : 0.005879
V297           : 0.005125
V298           : 0.000502
V299           : 0.005828
V300           : 0.005856
V301           : 0.003113
V302           : 0.004451
V304           : 0.001412
V305           : 0.002849
V310           : 0.005699
V313           : -0.002033
V314           : 0.004836
V315           : 0.004827
V316           : 0.005729
V317           : -0.001406
V319           : 0.006334
V320           : -0.002976
V322           : -0.004696
V325           : 0.005543
V326           : -0.005023
V327           : 0.006749
V329           : 0.007603
V331           : 0.000826
V334           : 0.005048
V335           : -0.004365
V336           : 0.005094
V337           : 0.005643
V339           : 0.003859
V340           : -0.004772
V341           : 0.005418
V342           : 0.005462
V343           : 0.002100
V344           : -0.001674
V345           : 0.005170
V346           : 0.001985
V348           : 0.005569
V349           : 0.002607
V350           : 0.004517
V353           : 0.005478
V356           : 0.004779
V357           : 0.005361
V358           : 0.003149
V360           : 0.005533
V361           : 0.005847
V362           : 0.001441
V364           : 0.005562
V366           : 0.005489
V367           : 0.005804
V368           : 0.004238
V369           : 0.005687
V370           : -0.002959
V373           : 0.005977
V374           : 0.005756
V375           : 0.004098
V377           : -0.005310
V378           : 0.005230
V379           : 0.004135
V383           : -0.005632
V384           : 0.000702
V385           : 0.006088
V387           : 0.004442
V388           : 0.001767
V389           : 0.000955
V390           : 0.004398
V391           : 0.003368
V392           : 0.004145
V393           : -0.000870
V394           : 0.005741
V395           : 0.003308
V396           : -0.005053
V397           : 0.005648
V399           : 0.006497
V400           : 0.006801
V404           : 0.004829
V405           : 0.000472
V406           : 0.004246
V407           : 0.009334
V408           : 0.008310
V409           : -0.005771
V410           : 0.005782
V411           : 0.005649
V412           : 0.003847
V413           : -0.000829
V414           : 0.005954
V415           : 0.006008
V416           : -0.004751
V417           : 0.003717
V419           : -0.000483
V420           : 0.006434
V421           : 0.003405
V422           : -0.001385
V424           : 0.006130
V425           : 0.004338
V428           : -0.001735
V430           : 0.001587
V435           : 0.004116
V437           : 0.005805
V442           : 0.004501
V443           : 0.005273
V444           : 0.002764
V445           : 0.002616
V446           : 0.003246
V448           : 0.000888
V449           : 0.004297
V450           : 0.006109
V451           : 0.000995
V452           : 0.000958
V453           : 0.005443
V456           : 0.005730
V459           : 0.005628
V460           : 0.002187
V461           : 0.000010
V462           : 0.005682
V463           : 0.003187
V464           : 0.005596
V466           : -0.002471
V467           : -0.004274
V469           : -0.001854
V471           : 0.006102
V472           : 0.005579
V473           : 0.005466
V475           : 0.002937
V477           : 0.004657
V479           : 0.004638
V480           : 0.003330
V481           : 0.001427
V482           : 0.004710
V483           : 0.001979
V484           : 0.006058
V485           : 0.005425
V486           : -0.003489
V489           : 0.004708
V490           : 0.005656
V491           : 0.003653
V492           : 0.005341
V493           : 0.006320
V494           : 0.003780
V496           : 0.006436
V498           : -0.003626
V499           : -0.006113
V500           : 0.005673
V501           : -0.008328
V502           : 0.005834
V504           : -0.001933
V505           : 0.005194
V506           : 0.003298
V507           : 0.005504
V508           : 0.005935
V509           : 0.005667
V512           : 0.001067
V513           : 0.005929
V514           : 0.004867
V517           : 0.005176
V519           : 0.005857
V521           : 0.005762
V522           : 0.004665
V523           : 0.004514
V524           : -0.004666
V525           : 0.004332
V528           : 0.005715
V529           : -0.000793
V530           : -0.004416
V531           : -0.005770
V532           : 0.002837
V533           : 0.005974
V534           : 0.004361
V537           : 0.005965
V539           : 0.004807
V540           : -0.004609
V542           : 0.006077
V543           : 0.005375
V544           : 0.002746
V545           : 0.002503
V547           : 0.001544
V548           : 0.005651
V549           : 0.003305
V550           : -0.001831
V556           : 0.001173
V557           : 0.004152
V558           : 0.000390
V559           : -0.002641
V560           : -0.003499
V561           : 0.004132
V562           : 0.005445
V563           : 0.004791
V564           : 0.004301
V565           : -0.003749
V567           : 0.005483
V568           : 0.005662
V571           : 0.005540
V572           : 0.005814
V573           : 0.005299
V574           : 0.004433
V575           : 0.005678
V576           : 0.005887
V577           : 0.005111
V578           : 0.005706
V579           : 0.003365
V580           : 0.005617
V582           : 0.005477
V583           : 0.005973
V585           : 0.004739
V587           : 0.006147
V589           : 0.000199
V590           : -0.005084
V591           : -0.004273
V592           : 0.004950
V594           : 0.005634
V595           : 0.006252
V597           : 0.001871
V598           : -0.000383
V600           : 0.004369
V602           : 0.003200
V603           : 0.005759
V604           : 0.005608
V605           : 0.004052
V606           : 0.005767
V608           : 0.000164
V610           : 0.002378
V611           : 0.005107
V612           : -0.002476
V613           : 0.003382
V614           : 0.006007
V615           : 0.005812
V616           : 0.005965
V617           : 0.005419
V618           : -0.004505
V619           : 0.005418
V622           : 0.003194
V623           : 0.006124
V624           : 0.005981
V625           : 0.004770
V626           : 0.005300
V627           : 0.005357
V628           : 0.005189
V629           : -0.000447
V630           : -0.003023
V631           : 0.005924
V632           : 0.004392
V633           : -0.004742
V634           : 0.005658
V635           : 0.004398
V636           : 0.005547
V637           : 0.006349
V638           : 0.005980
V639           : 0.005894
V640           : 0.005585
V642           : 0.005285
V643           : 0.005686
V645           : 0.000903
V646           : 0.003525
V648           : 0.005354
V649           : 0.005971
V650           : 0.004716
V651           : -0.002536
V652           : 0.006038
V653           : 0.003648
V659           : 0.005643
V660           : 0.005637
V661           : 0.005874
V662           : 0.006425
V663           : 0.004378
V664           : -0.001264
V666           : -0.003190
V667           : 0.004313
V669           : 0.005744
V670           : -0.005664
V671           : 0.002036
V672           : 0.005688
V673           : 0.005262
V674           : 0.006060
V675           : 0.006047
V677           : 0.005626
V678           : 0.005920
V679           : 0.003155
V680           : 0.005835
V681           : 0.005812
V682           : -0.001230
V683           : 0.001265
V684           : 0.005854
V686           : 0.006391
V687           : 0.005174
V688           : 0.002730
V689           : -0.002916
V690           : 0.005800
V691           : 0.004655
V692           : 0.004386
V693           : 0.005600
V694           : 0.000159
V696           : 0.002993
V697           : 0.003845
V698           : -0.003603
V699           : 0.005796
V700           : -0.000462
V702           : -0.003000
V703           : 0.005337
V704           : -0.003556
V707           : 0.005913
V708           : -0.005885
V709           : 0.000407
V710           : 0.001125
V711           : 0.004788
V712           : 0.004044
V713           : 0.005466
V715           : 0.005954
V716           : 0.006709
V719           : 0.006103
V720           : -0.003805
V722           : 0.005863
V723           : -0.001938
V728           : -0.000019
V729           : -0.001151
V730           : -0.004036
V731           : 0.006048
V735           : 0.006077
V739           : -0.002662
V741           : 0.005359
V744           : 0.005340
V745           : 0.005635
V747           : 0.005236
V748           : 0.004938
V749           : 0.004691
V752           : 0.005589
V753           : 0.004305
V754           : 0.005854
V755           : -0.001119
V756           : 0.004798
V757           : -0.005037
V758           : 0.006275
V759           : 0.005970
V760           : 0.000389
V762           : 0.004848
V763           : 0.005894
V764           : 0.003568
V766           : 0.005050
V768           : 0.004663
V769           : 0.006160
V770           : -0.000972
V771           : 0.004690
V772           : -0.005483
V774           : 0.005871
V775           : 0.005931
V776           : 0.004904
V777           : 0.006768
V778           : 0.005689
V780           : 0.006234
V781           : -0.004092
V782           : 0.005492
V783           : 0.004638
V785           : 0.005948
V786           : 0.005617
V788           : 0.005841
V790           : 0.004426
V791           : 0.005558
V793           : -0.002313
V794           : 0.005505
V795           : -0.000000
V796           : -0.000161
V797           : -0.004527
V798           : 0.006207
V800           : 0.004629
V801           : -0.004409
V803           : 0.003431
V806           : 0.005707
V807           : 0.002427
V808           : 0.001639
V809           : 0.005844
V810           : 0.005486
V811           : -0.004836
V813           : -0.003824
V814           : -0.000698
V815           : 0.005879
V816           : 0.005840
V819           : 0.005297
V822           : -0.002356
V823           : -0.001971
V825           : 0.005661
V826           : 0.005894
V827           : 0.005716
V828           : 0.005869
V829           : 0.006112
V831           : 0.001959
V832           : 0.004832
V833           : 0.004067
V834           : 0.003524
V836           : 0.002385
V837           : 0.005591
V839           : 0.005463
V842           : 0.005179
V843           : 0.004600
V844           : 0.004764
V845           : 0.004424
V846           : 0.003270
V849           : -0.003473
V850           : 0.004979
V851           : 0.004842
V853           : 0.005847
V854           : -0.003991
V856           : -0.000633
V857           : 0.005583
V859           : 0.005294
V860           : 0.005977
V861           : 0.005003
V862           : 0.006138
V863           : 0.004930
V864           : 0.005173
V865           : 0.005533
V867           : 0.001706
V871           : 0.002953
V872           : 0.005502
V873           : 0.000452
V874           : -0.001608
V875           : 0.005513
V876           : 0.004352
V877           : 0.005453
V878           : 0.001226
V880           : 0.005937
V883           : 0.005755
V885           : 0.005921
V886           : 0.005151
V887           : 0.005127
V888           : 0.006315
V889           : 0.005967
V890           : 0.005813
V892           : 0.005337
V893           : 0.005853
V894           : -0.001681
V895           : 0.005868
V896           : 0.005974
V897           : -0.004525
V898           : 0.002332
V899           : 0.004947
V900           : 0.005700
V903           : 0.005296
V904           : 0.005640
V905           : 0.004753
V906           : 0.005944
V907           : -0.000372
V910           : 0.005149
V911           : 0.006154
V913           : 0.005851
V914           : 0.005766
V916           : 0.005941
V917           : 0.001599
V918           : 0.004257
V920           : -0.006217
V921           : -0.004633
V922           : 0.001108
V925           : 0.005904
V926           : 0.006622
V927           : 0.002351
V928           : 0.005646
V929           : -0.005521
V930           : 0.005001
V931           : -0.000423
V933           : 0.005704
V934           : -0.003473
V935           : -0.004042
V936           : 0.004107
V937           : 0.005987
V938           : 0.005064
V939           : -0.004966
V940           : -0.006471
V941           : 0.005643
V942           : -0.000414
V943           : -0.004051
V944           : 0.005587
V945           : -0.001955
V946           : 0.006231
V947           : 0.005839
V948           : 0.005003
V949           : -0.003775
V950           : 0.004125
V951           : 0.003754
V952           : -0.003385
V953           : -0.000156
V954           : 0.006366
V956           : -0.005961
V957           : 0.004301
V961           : 0.005776
V963           : 0.003154
V964           : 0.005813
V965           : 0.005339
V966           : 0.004682
V967           : 0.006001
V968           : 0.006734
V969           : 0.005763
V970           : 0.003945
V972           : 0.006434
V974           : 0.004983
V975           : 0.005491
V976           : -0.000046
V977           : 0.005782
V978           : 0.005956
V979           : 0.005750
V982           : 0.003536
V984           : 0.005712
V985           : -0.000436
V986           : -0.002288
V987           : 0.002770
V988           : 0.005565
V989           : 0.005525
V990           : 0.004114
V991           : -0.003056
V992           : 0.005866
V993           : 0.006018
V994           : 0.004273
V995           : 0.000878
V996           : 0.005881
V997           : -0.002556
V998           : 0.004521
V999           : 0.005574
V1000          : -0.000303
V1001          : 0.005334
V1002          : 0.005693
V1003          : 0.005691
V1005          : 0.005443
V1006          : -0.004243
V1007          : 0.005991
V1008          : 0.005140
V1009          : 0.002065
V1010          : 0.005039
V1011          : 0.005780
V1012          : 0.006008
V1013          : 0.005953
V1014          : 0.003591
V1015          : -0.008201
V1016          : -0.008865
V1017          : 0.000158
V1018          : -0.009383
V1019          : -0.001819
V1020          : 0.005958
V1022          : 0.003918
V1023          : 0.004986
V1024          : 0.004663
V1025          : -0.000000
V1026          : -0.014784
V1027          : 0.005410
V1028          : 0.002695
V1029          : 0.004524
V1030          : 0.004329
V1031          : 0.005210
V1032          : 0.005078
V1033          : 0.005222
V1035          : 0.003025
V1036          : 0.006062
V1037          : 0.006056
V1038          : -0.004036
V1041          : 0.001653
V1043          : 0.005852
V1044          : 0.004694
V1046          : 0.003783
V1047          : 0.005901
V1048          : -0.004806
V1049          : 0.005454
V1050          : 0.004048
V1052          : -0.004776
V1054          : 0.006217
V1055          : 0.006247
V1056          : 0.005579
V1057          : 0.005302
V1058          : 0.005998
V1059          : 0.006208
V1060          : 0.004495
V1061          : 0.004584
V1062          : -0.000883
V1063          : 0.005964
V1064          : -0.004955
V1065          : -0.002521
V1066          : 0.005622
V1070          : -0.004508
V1071          : 0.005951
V1072          : -0.001385
V1073          : 0.000040
V1075          : -0.004185
V1076          : -0.000345
V1077          : -0.001123
V1078          : 0.003904
V1080          : 0.005586
V1082          : 0.000000
V1084          : 0.005569
V1085          : -0.004656
V1086          : 0.004234
V1087          : -0.001216
V1089          : 0.005453
V1091          : -0.004204
V1093          : 0.004829
V1094          : 0.000648
V1095          : 0.005518
V1096          : 0.005481
V1099          : -0.003322
V1101          : -0.002517
V1102          : 0.005995
V1104          : 0.005172
V1105          : 0.006045
V1106          : 0.005314
V1107          : 0.004262
V1108          : 0.005967
V1109          : 0.001716
V1110          : 0.004070
V1114          : -0.001102
V1115          : 0.004673
V1116          : 0.005746
V1117          : 0.005636
V1118          : 0.005838
V1119          : 0.005603
V1120          : 0.000904
V1121          : 0.005601
V1122          : 0.006028
V1123          : 0.005244
V1124          : -0.005187
V1126          : 0.005846
V1127          : 0.005102
V1128          : 0.005343
V1130          : 0.005512
V1131          : 0.005782
V1132          : 0.002618
V1134          : 0.005826
V1136          : 0.002734
V1137          : 0.006657
V1138          : 0.004724
V1139          : 0.000000
V1140          : -0.008181
V1141          : -0.000644
V1142          : 0.005858
V1144          : 0.005752
V1145          : 0.005596
V1147          : -0.002672
V1148          : 0.004559
V1149          : 0.005025
V1150          : 0.006150
V1151          : 0.003819
V1152          : 0.005652
V1153          : 0.005550
V1154          : 0.005769
V1156          : 0.004932
V1157          : 0.005838
V1158          : 0.005617
V1159          : 0.006229
V1160          : -0.001375
V1162          : 0.005220
V1163          : 0.005826
V1164          : 0.004542
V1165          : 0.005543
V1168          : 0.005069
V1169          : -0.000902
V1170          : -0.006062
V1171          : 0.005783
V1172          : -0.001654
V1173          : 0.005395
V1174          : 0.005999
V1176          : 0.002476
V1178          : 0.005469
V1179          : -0.003625
V1181          : 0.004464
V1182          : 0.006071
V1183          : 0.004712
V1184          : 0.004668
V1185          : 0.005323
V1186          : -0.008944
V1187          : 0.004812
V1188          : -0.007762
V1190          : -0.002509
V1191          : -0.002028
V1193          : 0.002283
V1197          : 0.006261
V1201          : 0.005964
V1204          : 0.004131
V1205          : 0.003227
V1206          : 0.006753
V1208          : 0.005596
V1209          : 0.005471
V1210          : 0.005993
V1211          : 0.006083
V1212          : -0.003101
V1213          : 0.005417
V1214          : 0.005030
V1215          : 0.006584
V1216          : 0.003784
V1218          : 0.005607
V1220          : 0.005437
V1221          : -0.003876
V1222          : 0.005642
V1223          : 0.005904
V1224          : 0.003265
V1225          : 0.005172
V1226          : -0.001522
V1227          : 0.000445
V1228          : 0.002049
V1229          : -0.003808
V1230          : 0.000867
V1232          : 0.004969
V1233          : 0.007164
V1234          : 0.005801
V1236          : 0.004855
V1237          : 0.005778
V1238          : 0.005633
V1239          : 0.005585
V1240          : 0.001768
V1241          : 0.006167
V1242          : 0.000561
V1243          : 0.004128
V1244          : -0.004060
V1245          : 0.000385
V1246          : -0.005585
V1247          : -0.005341
V1248          : 0.004314
V1249          : 0.005610
V1250          : 0.005473
V1251          : 0.006083
V1252          : -0.003508
V1253          : 0.005904
V1254          : 0.005873
V1255          : -0.003400
V1256          : 0.001406
V1258          : 0.005858
V1262          : 0.003009
V1264          : -0.003736
V1265          : 0.000077
V1266          : 0.007995
V1267          : 0.003647
V1270          : 0.005626
V1271          : 0.005920
V1272          : 0.005722
V1273          : 0.005817
V1275          : 0.005642
V1276          : 0.005653
V1280          : 0.005866
V1281          : 0.004543
V1282          : -0.002533
V1283          : 0.005700
V1284          : 0.005695
V1285          : 0.005420
V1286          : -0.001281
V1288          : 0.000257
V1290          : 0.005830
V1291          : 0.005475
V1292          : 0.002594
V1293          : 0.005791
V1294          : -0.007239
V1297          : -0.004620
V1298          : 0.005728
V1299          : 0.006056
V1300          : 0.005619
V1301          : 0.003592
V1302          : 0.002630
V1303          : 0.005834
V1304          : 0.004836
V1305          : 0.004665
V1307          : 0.005584
V1309          : 0.006109
V1310          : 0.005593
V1311          : 0.004048
V1312          : 0.001914
V1313          : -0.005505
V1314          : -0.003975
V1315          : 0.004321
V1316          : -0.006016
V1317          : 0.003630
V1318          : 0.005962
V1320          : -0.003404
V1322          : -0.008114
V1324          : 0.005023
V1325          : 0.005150
V1327          : 0.003652
V1328          : 0.000359
V1329          : 0.004228
V1330          : 0.005677
V1331          : 0.000728
V1333          : -0.004388
V1334          : 0.005618
V1335          : 0.004264
V1336          : 0.004840
V1337          : -0.006439
V1338          : 0.006305
V1340          : 0.002693
V1341          : 0.005355
V1343          : 0.005492
V1344          : 0.005908
V1345          : 0.006325
V1346          : 0.000047
V1347          : 0.005992
V1348          : 0.005408
V1349          : 0.005879
V1350          : 0.005876
V1351          : -0.003445
V1352          : -0.000262
V1353          : 0.005797
V1354          : 0.004908
V1355          : 0.004689
V1356          : 0.005328
V1357          : 0.005616
V1358          : 0.006118
V1359          : 0.003661
V1361          : 0.004158
V1362          : 0.004468
V1363          : -0.002883
V1364          : 0.002845
V1365          : -0.001906
V1367          : 0.003227
V1368          : 0.000674
V1369          : 0.005981
V1370          : 0.005880
V1371          : 0.005925
V1372          : -0.001335
V1373          : 0.005867
V1374          : -0.008395
V1376          : 0.002019
V1377          : 0.005714
V1378          : -0.000000
V1379          : 0.001463
V1380          : -0.004779
V1381          : 0.004680
V1382          : 0.005706
V1383          : 0.005563
V1384          : 0.000105
V1385          : 0.001697
V1386          : -0.000445
V1387          : 0.005247
V1388          : 0.005165
V1389          : 0.005765
V1390          : -0.000980
V1391          : 0.003394
V1393          : -0.006052
V1394          : -0.000463
V1395          : 0.005066
V1396          : 0.003674
V1397          : 0.004802
V1398          : 0.005533
V1399          : 0.005469
V1401          : 0.003753
V1402          : 0.007270
V1403          : 0.005796
V1404          : 0.005623
V1407          : 0.007503
V1408          : 0.000309
V1409          : 0.005566
V1411          : -0.004605
V1413          : 0.005609
V1414          : 0.004909
V1415          : 0.005075
V1416          : 0.005780
V1417          : 0.005713
V1418          : -0.004240
V1419          : -0.004603
V1421          : 0.005776
V1422          : 0.001010
V1423          : 0.001430
V1425          : 0.005580
V1426          : 0.005730
V1427          : 0.005654
V1429          : -0.000237
V1431          : 0.003690
V1432          : 0.004383
V1433          : 0.005858
V1437          : 0.005653
V1438          : 0.004473
V1439          : 0.004682
V1440          : 0.006797
V1441          : 0.004430
V1445          : 0.005846
V1446          : -0.003840
V1448          : 0.007166
V1449          : 0.005911
V1452          : -0.006731
V1453          : 0.003735
V1454          : 0.005458
V1455          : -0.001442
V1456          : -0.003076
V1457          : 0.004684
V1458          : -0.005096
V1459          : 0.005596
V1460          : 0.005974
V1461          : 0.002740
V1462          : -0.002811
V1464          : -0.006003
V1465          : -0.004707
V1466          : 0.001225
V1467          : 0.006529
V1468          : 0.005120
V1469          : 0.005810
V1470          : 0.006332
V1471          : -0.007267
V1472          : 0.000494
V1474          : -0.004595
V1478          : 0.005782
V1479          : 0.004561
V1480          : 0.006279
V1481          : 0.005202
V1482          : 0.005802
V1483          : 0.004868
V1484          : 0.005379
V1486          : 0.005477
V1487          : 0.004556
V1488          : 0.007906
V1489          : -0.001729
V1491          : 0.006472
V1492          : 0.005704
V1493          : 0.005871
V1494          : 0.005723
V1495          : -0.002330
V1496          : 0.001848
V1497          : -0.003962
V1498          : 0.003499
V1499          : 0.004776
V1501          : -0.001781
V1502          : 0.006405
V1503          : 0.002238
V1504          : 0.005764
V1505          : -0.001873
V1506          : 0.003324
V1507          : 0.005857
V1508          : 0.002241
V1509          : 0.002154
V1510          : 0.001552
V1512          : -0.002834
V1513          : 0.006173
V1514          : 0.005830
V1515          : 0.006228
V1516          : -0.000476
V1517          : 0.001063
V1519          : 0.005006
V1520          : -0.008770
V1521          : 0.005665
V1522          : 0.005533
V1523          : 0.005873
V1524          : 0.006334
V1525          : 0.003273
V1526          : 0.005233
V1527          : 0.002793
V1528          : 0.005696
V1529          : 0.005834
V1531          : 0.005745
V1533          : 0.005446
V1534          : 0.000150
V1535          : 0.004981
V1536          : -0.005079
V1537          : -0.001066
V1538          : 0.005567
V1539          : 0.005063
V1540          : -0.009436
V1541          : 0.005805
V1542          : 0.004899
V1543          : 0.005021
V1544          : 0.006374
V1545          : 0.003324
V1548          : 0.005476
V1549          : 0.002571
V1550          : 0.005610
V1551          : 0.006049
V1553          : -0.002636
V1554          : 0.005402
V1555          : -0.003714
V1556          : -0.005674
V1557          : 0.005954
V1558          : 0.005796
V1559          : 0.005064
V1560          : 0.004341
V1562          : 0.003099
V1564          : 0.004906
V1565          : -0.009675
V1566          : 0.004650
V1567          : 0.005612
V1568          : 0.005979
V1569          : -0.004808
V1570          : 0.006882
V1571          : 0.005491
V1572          : 0.005758
V1573          : -0.002458
V1574          : 0.005542
V1575          : -0.002330
V1576          : 0.004721
V1577          : 0.005545
V1578          : 0.004443
V1580          : -0.006115
V1581          : -0.004155
V1582          : -0.000000
V1583          : 0.004965
V1584          : -0.000207
V1585          : 0.006111
V1586          : -0.003090
V1587          : 0.005465
V1588          : -0.003250
V1589          : 0.000408
V1590          : -0.004156
V1591          : 0.005966
V1592          : 0.004132
V1593          : 0.005101
V1594          : 0.003726
V1595          : 0.005695
V1596          : 0.001259
V1597          : 0.005714
V1598          : 0.000108
V1599          : -0.000463
V1600          : 0.005888
V1601          : 0.005416
V1604          : 0.004992
V1605          : 0.005774
V1606          : 0.004144
V1607          : 0.005823
V1608          : 0.005401
V1609          : 0.004729
V1610          : 0.005852
V1611          : -0.002471
V1613          : 0.002470
V1614          : 0.005734
V1615          : 0.006737
V1616          : 0.005767
V1617          : 0.005769
V1618          : -0.000936
V1619          : 0.006288
V1620          : -0.000378
V1621          : 0.003761
V1622          : 0.001521
V1623          : 0.005035
V1624          : 0.000913
V1625          : 0.005800
V1626          : -0.006432
V1627          : -0.009071
V1628          : -0.006844
V1630          : 0.003592
V1631          : 0.005804
V1633          : 0.005238
V1634          : 0.004385
V1636          : 0.005619
V1637          : 0.001756
V1638          : -0.002038
V1639          : 0.005810
V1640          : -0.002126
V1641          : 0.005466
V1642          : 0.006523
V1643          : 0.006704
V1644          : 0.005584
V1645          : 0.005645
V1646          : 0.004539
V1647          : -0.000259
V1648          : -0.005439
V1649          : -0.002821
V1650          : 0.005226
V1651          : -0.003747
V1652          : 0.005802
V1653          : 0.003882
V1655          : -0.002100
V1656          : 0.005156
V1660          : 0.007000
V1661          : 0.004909
V1662          : 0.005798
V1663          : 0.006346
V1664          : 0.006949
V1666          : 0.005059
V1668          : -0.002750
V1669          : 0.003378
V1670          : -0.003917
V1671          : 0.006642
V1672          : 0.006288
V1673          : 0.005260
V1674          : 0.004356
V1676          : 0.005893
V1677          : 0.006064
V1678          : 0.005790
V1680          : 0.005913
V1681          : 0.005469
V1683          : 0.005772
V1684          : -0.004346
V1685          : 0.005889
V1687          : 0.001024
V1689          : 0.005001
V1690          : 0.005569
V1692          : 0.002712
V1694          : 0.004271
V1695          : 0.005940
V1697          : 0.005690
V1698          : 0.005772
V1699          : 0.003347
V1700          : -0.001465
V1702          : 0.007356
V1703          : 0.005882
V1705          : 0.006099
V1707          : 0.005619
V1708          : 0.006363
V1709          : 0.006052
V1710          : 0.006626
V1711          : 0.005078
V1712          : -0.000067
V1713          : 0.005581
V1714          : 0.004835
V1715          : 0.003731
V1716          : 0.006036
V1717          : 0.005141
V1718          : 0.003385
V1719          : 0.001944
V1721          : 0.007175
V1722          : 0.004317
V1723          : 0.004593
V1724          : 0.004788
V1725          : -0.006303
